"","class","center","number"
"1","clinical_test",40,38
"2","clinical_test",41,31
"3","clinical_test",42,29
"4","clinical_test",43,32
"5","clinical_test",44,37
"6","clinical_test",45,43
"7","clinical_test",46,42
"8","clinical_test",47,40
"9","clinical_test",48,41
"10","clinical_test",49,42
"11","clinical_test",50,39
"12","clinical_test",51,37
"13","clinical_test",52,33
"14","clinical_test",53,28
"15","clinical_test",54,30
"16","clinical_test",55,33
"17","clinical_test",56,32
"18","clinical_test",57,34
"19","clinical_test",58,33
"20","clinical_test",59,31
"21","clinical_test",60,31
"22","clinical_test",61,29
"23","clinical_test",62,32
"24","clinical_test",63,33
"25","clinical_test",64,31
"26","clinical_test",65,37
"27","cytokine",40,46
"28","cytokine",41,40
"29","cytokine",42,43
"30","cytokine",43,47
"31","cytokine",44,49
"32","cytokine",45,43
"33","cytokine",46,41
"34","cytokine",47,44
"35","cytokine",48,50
"36","cytokine",49,59
"37","cytokine",50,60
"38","cytokine",51,62
"39","cytokine",52,59
"40","cytokine",53,56
"41","cytokine",54,48
"42","cytokine",55,39
"43","cytokine",56,33
"44","cytokine",57,19
"45","cytokine",58,16
"46","cytokine",59,33
"47","cytokine",60,43
"48","cytokine",61,48
"49","cytokine",62,44
"50","cytokine",63,38
"51","cytokine",64,30
"52","cytokine",65,30
"53","gut_microbiome",40,127
"54","gut_microbiome",41,128
"55","gut_microbiome",42,131
"56","gut_microbiome",43,139
"57","gut_microbiome",44,136
"58","gut_microbiome",45,134
"59","gut_microbiome",46,125
"60","gut_microbiome",47,128
"61","gut_microbiome",48,120
"62","gut_microbiome",49,116
"63","gut_microbiome",50,117
"64","gut_microbiome",51,121
"65","gut_microbiome",52,111
"66","gut_microbiome",53,103
"67","gut_microbiome",54,103
"68","gut_microbiome",55,103
"69","gut_microbiome",56,92
"70","gut_microbiome",57,95
"71","gut_microbiome",58,103
"72","gut_microbiome",59,102
"73","gut_microbiome",60,104
"74","gut_microbiome",61,109
"75","gut_microbiome",62,109
"76","gut_microbiome",63,107
"77","gut_microbiome",64,105
"78","gut_microbiome",65,103
"79","lipidomics",40,629
"80","lipidomics",41,512
"81","lipidomics",42,475
"82","lipidomics",43,588
"83","lipidomics",44,730
"84","lipidomics",45,766
"85","lipidomics",46,763
"86","lipidomics",47,744
"87","lipidomics",48,733
"88","lipidomics",49,718
"89","lipidomics",50,707
"90","lipidomics",51,690
"91","lipidomics",52,674
"92","lipidomics",53,683
"93","lipidomics",54,705
"94","lipidomics",55,712
"95","lipidomics",56,693
"96","lipidomics",57,643
"97","lipidomics",58,608
"98","lipidomics",59,576
"99","lipidomics",60,552
"100","lipidomics",61,538
"101","lipidomics",62,545
"102","lipidomics",63,496
"103","lipidomics",64,479
"104","lipidomics",65,461
"105","metabolomics",40,637
"106","metabolomics",41,615
"107","metabolomics",42,593
"108","metabolomics",43,613
"109","metabolomics",44,639
"110","metabolomics",45,652
"111","metabolomics",46,657
"112","metabolomics",47,661
"113","metabolomics",48,621
"114","metabolomics",49,609
"115","metabolomics",50,583
"116","metabolomics",51,540
"117","metabolomics",52,530
"118","metabolomics",53,516
"119","metabolomics",54,545
"120","metabolomics",55,566
"121","metabolomics",56,585
"122","metabolomics",57,593
"123","metabolomics",58,583
"124","metabolomics",59,589
"125","metabolomics",60,561
"126","metabolomics",61,541
"127","metabolomics",62,540
"128","metabolomics",63,542
"129","metabolomics",64,568
"130","metabolomics",65,572
"131","nasal_microbiome",40,185
"132","nasal_microbiome",41,182
"133","nasal_microbiome",42,170
"134","nasal_microbiome",43,162
"135","nasal_microbiome",44,162
"136","nasal_microbiome",45,168
