"Lipid.name"	"Class"	"Color"
"45"	"DG(12:0/16:0)"	"Glycerolipid"	"#333399"
"46"	"DG(12:0/18:0)"	"Glycerolipid"	"#333399"
"47"	"DG(12:0/18:1)"	"Glycerolipid"	"#333399"
"48"	"DG(14:0/14:0)"	"Glycerolipid"	"#333399"
"49"	"DG(14:0/16:0)"	"Glycerolipid"	"#333399"
"50"	"DG(14:0/18:1)"	"Glycerolipid"	"#333399"
"51"	"DG(14:0/18:2)"	"Glycerolipid"	"#333399"
"52"	"DG(14:1/18:1)"	"Glycerolipid"	"#333399"
"53"	"DG(15:0/18:1)"	"Glycerolipid"	"#333399"
"54"	"DG(16:0/16:0)"	"Glycerolipid"	"#333399"
"55"	"DG(16:0/16:1)"	"Glycerolipid"	"#333399"
"56"	"DG(16:0/18:0)"	"Glycerolipid"	"#333399"
"57"	"DG(16:0/18:1)"	"Glycerolipid"	"#333399"
"58"	"DG(16:0/18:2)"	"Glycerolipid"	"#333399"
"59"	"DG(16:0/18:3)"	"Glycerolipid"	"#333399"
"60"	"DG(16:0/20:3)"	"Glycerolipid"	"#333399"
"61"	"DG(16:0/20:4)"	"Glycerolipid"	"#333399"
"62"	"DG(16:0/20:5)"	"Glycerolipid"	"#333399"
"63"	"DG(16:0/22:6)"	"Glycerolipid"	"#333399"
"64"	"DG(16:1/16:1)"	"Glycerolipid"	"#333399"
"65"	"DG(16:1/18:0)"	"Glycerolipid"	"#333399"
"66"	"DG(16:1/18:1)"	"Glycerolipid"	"#333399"
"67"	"DG(16:1/18:2)"	"Glycerolipid"	"#333399"
"68"	"DG(16:1/20:4)"	"Glycerolipid"	"#333399"
"69"	"DG(18:0/18:1)"	"Glycerolipid"	"#333399"
"70"	"DG(18:0/18:2)"	"Glycerolipid"	"#333399"
"71"	"DG(18:0/18:3)"	"Glycerolipid"	"#333399"
"72"	"DG(18:0/22:6)"	"Glycerolipid"	"#333399"
"73"	"DG(18:1/18:1)"	"Glycerolipid"	"#333399"
"74"	"DG(18:1/18:2)"	"Glycerolipid"	"#333399"
"75"	"DG(18:1/20:1)"	"Glycerolipid"	"#333399"
"76"	"DG(18:1/20:2)"	"Glycerolipid"	"#333399"
"77"	"DG(18:1/20:3)"	"Glycerolipid"	"#333399"
"78"	"DG(18:1/20:4)"	"Glycerolipid"	"#333399"
"79"	"DG(18:1/20:5)"	"Glycerolipid"	"#333399"
"80"	"DG(18:1/22:4)"	"Glycerolipid"	"#333399"
"81"	"DG(18:1/22:5)"	"Glycerolipid"	"#333399"
"82"	"DG(18:1/22:6)"	"Glycerolipid"	"#333399"
"83"	"DG(18:2/18:3)"	"Glycerolipid"	"#333399"
"84"	"DG(18:2/20:3)"	"Glycerolipid"	"#333399"
"85"	"DG(18:2/20:4)"	"Glycerolipid"	"#333399"
"86"	"DG(18:2/20:5)"	"Glycerolipid"	"#333399"
"87"	"DG(18:2/22:5)"	"Glycerolipid"	"#333399"
"88"	"DG(18:2/22:6)"	"Glycerolipid"	"#333399"
"89"	"DG(20:0/20:0)"	"Glycerolipid"	"#333399"
"294"	"TG(36:0)"	"Glycerolipid"	"#333399"
"295"	"TG(38:0)"	"Glycerolipid"	"#333399"
"296"	"TG(40:0)"	"Glycerolipid"	"#333399"
"297"	"TG(42:0)"	"Glycerolipid"	"#333399"
"298"	"TG(42:1)"	"Glycerolipid"	"#333399"
"299"	"TG(42:2)"	"Glycerolipid"	"#333399"
"300"	"TG(44:0)"	"Glycerolipid"	"#333399"
"301"	"TG(44:1)"	"Glycerolipid"	"#333399"
"302"	"TG(44:2)"	"Glycerolipid"	"#333399"
"303"	"TG(44:3)"	"Glycerolipid"	"#333399"
"304"	"TG(45:0)"	"Glycerolipid"	"#333399"
"305"	"TG(45:1)"	"Glycerolipid"	"#333399"
"306"	"TG(46:0)"	"Glycerolipid"	"#333399"
"307"	"TG(46:1)"	"Glycerolipid"	"#333399"
"308"	"TG(46:2)"	"Glycerolipid"	"#333399"
"309"	"TG(46:3)"	"Glycerolipid"	"#333399"
"310"	"TG(46:4)"	"Glycerolipid"	"#333399"
"311"	"TG(47:0)"	"Glycerolipid"	"#333399"
"312"	"TG(47:1)"	"Glycerolipid"	"#333399"
"313"	"TG(47:2)"	"Glycerolipid"	"#333399"
"314"	"TG(48:0)"	"Glycerolipid"	"#333399"
"315"	"TG(48:1)"	"Glycerolipid"	"#333399"
"316"	"TG(48:2)"	"Glycerolipid"	"#333399"
"317"	"TG(48:3)"	"Glycerolipid"	"#333399"
"318"	"TG(48:4)"	"Glycerolipid"	"#333399"
"319"	"TG(48:5)"	"Glycerolipid"	"#333399"
"320"	"TG(49:0)"	"Glycerolipid"	"#333399"
"321"	"TG(49:1)"	"Glycerolipid"	"#333399"
"322"	"TG(49:2)"	"Glycerolipid"	"#333399"
"323"	"TG(49:3)"	"Glycerolipid"	"#333399"
"324"	"TG(50:0)"	"Glycerolipid"	"#333399"
"325"	"TG(50:1)"	"Glycerolipid"	"#333399"
"326"	"TG(50:2)"	"Glycerolipid"	"#333399"
"327"	"TG(50:3)"	"Glycerolipid"	"#333399"
"328"	"TG(50:4)"	"Glycerolipid"	"#333399"
"329"	"TG(50:5)"	"Glycerolipid"	"#333399"
"330"	"TG(50:6)"	"Glycerolipid"	"#333399"
"331"	"TG(51:0)"	"Glycerolipid"	"#333399"
"332"	"TG(51:1)"	"Glycerolipid"	"#333399"
"333"	"TG(51:2)"	"Glycerolipid"	"#333399"
