"id"	"label"	"title"	"color.background"	"shape"	"size"	"borderWidth"
"1"	"s1"	"DG(12:0/16:0)"	"DG(12:0/16:0)"	"#cccccc"	"dot"	5	0
"2"	"s2"	"DG(12:0/18:0)"	"DG(12:0/18:0)"	"#cccccc"	"dot"	5	0
"3"	"s3"	"DG(12:0/18:1)"	"DG(12:0/18:1)"	"#cccccc"	"dot"	5	0
"4"	"s4"	"DG(14:0/14:0)"	"DG(14:0/14:0)"	"#cccccc"	"dot"	5	0
"5"	"s5"	"DG(14:0/16:0)"	"DG(14:0/16:0)"	"#cccccc"	"dot"	5	0
"6"	"s6"	"DG(14:0/18:1)"	"DG(14:0/18:1)"	"#cccccc"	"dot"	5	0
"7"	"s7"	"DG(14:0/18:2)"	"DG(14:0/18:2)"	"#cccccc"	"dot"	5	0
"8"	"s8"	"DG(14:1/18:1)"	"DG(14:1/18:1)"	"#cccccc"	"dot"	5	0
"9"	"s9"	"DG(15:0/18:1)"	"DG(15:0/18:1)"	"#cccccc"	"dot"	5	0
"10"	"s10"	"DG(16:0/16:0)"	"DG(16:0/16:0)"	"#cccccc"	"dot"	5	0
"11"	"s11"	"DG(16:0/16:1)"	"DG(16:0/16:1)"	"#cccccc"	"dot"	5	0
"12"	"s12"	"DG(16:0/18:0)"	"DG(16:0/18:0)"	"#cccccc"	"dot"	5	0
"13"	"s13"	"DG(16:0/18:1)"	"DG(16:0/18:1)"	"#cccccc"	"dot"	5	0
"14"	"s14"	"DG(16:0/18:2)"	"DG(16:0/18:2)"	"#cccccc"	"dot"	5	0
"15"	"s15"	"DG(16:0/18:3)"	"DG(16:0/18:3)"	"#cccccc"	"dot"	5	0
"16"	"s16"	"DG(16:0/20:3)"	"DG(16:0/20:3)"	"#cccccc"	"dot"	5	0
"17"	"s17"	"DG(16:0/20:4)"	"DG(16:0/20:4)"	"#cccccc"	"dot"	5	0
"18"	"s18"	"DG(16:0/20:5)"	"DG(16:0/20:5)"	"#cccccc"	"dot"	5	0
"19"	"s19"	"DG(16:0/22:6)"	"DG(16:0/22:6)"	"#cccccc"	"dot"	5	0
"20"	"s20"	"DG(16:1/16:1)"	"DG(16:1/16:1)"	"#cccccc"	"dot"	5	0
"21"	"s21"	"DG(16:1/18:0)"	"DG(16:1/18:0)"	"#cccccc"	"dot"	5	0
"22"	"s22"	"DG(16:1/18:1)"	"DG(16:1/18:1)"	"#cccccc"	"dot"	5	0
"23"	"s23"	"DG(16:1/18:2)"	"DG(16:1/18:2)"	"#cccccc"	"dot"	5	0
"24"	"s24"	"DG(16:1/20:4)"	"DG(16:1/20:4)"	"#cccccc"	"dot"	5	0
"25"	"s25"	"DG(18:0/18:1)"	"DG(18:0/18:1)"	"#cccccc"	"dot"	5	0
"26"	"s26"	"DG(18:0/18:2)"	"DG(18:0/18:2)"	"#cccccc"	"dot"	5	0
"27"	"s27"	"DG(18:0/18:3)"	"DG(18:0/18:3)"	"#cccccc"	"dot"	5	0
"28"	"s28"	"DG(18:0/22:6)"	"DG(18:0/22:6)"	"#cccccc"	"dot"	5	0
"29"	"s29"	"DG(18:1/18:1)"	"DG(18:1/18:1)"	"#cccccc"	"dot"	5	0
"30"	"s30"	"DG(18:1/18:2)"	"DG(18:1/18:2)"	"#cccccc"	"dot"	5	0
"31"	"s31"	"DG(18:1/20:1)"	"DG(18:1/20:1)"	"#cccccc"	"dot"	5	0
"32"	"s32"	"DG(18:1/20:2)"	"DG(18:1/20:2)"	"#cccccc"	"dot"	5	0
"33"	"s33"	"DG(18:1/20:3)"	"DG(18:1/20:3)"	"#cccccc"	"dot"	5	0
"34"	"s34"	"DG(18:1/20:4)"	"DG(18:1/20:4)"	"#cccccc"	"dot"	5	0
"35"	"s35"	"DG(18:1/20:5)"	"DG(18:1/20:5)"	"#cccccc"	"dot"	5	0
"36"	"s36"	"DG(18:1/22:4)"	"DG(18:1/22:4)"	"#cccccc"	"dot"	5	0
"37"	"s37"	"DG(18:1/22:5)"	"DG(18:1/22:5)"	"#cccccc"	"dot"	5	0
"38"	"s38"	"DG(18:1/22:6)"	"DG(18:1/22:6)"	"#cccccc"	"dot"	5	0
"39"	"s39"	"DG(18:2/18:3)"	"DG(18:2/18:3)"	"#cccccc"	"dot"	5	0
"40"	"s40"	"DG(18:2/20:3)"	"DG(18:2/20:3)"	"#cccccc"	"dot"	5	0
"41"	"s41"	"DG(18:2/20:4)"	"DG(18:2/20:4)"	"#cccccc"	"dot"	5	0
"42"	"s42"	"DG(18:2/20:5)"	"DG(18:2/20:5)"	"#cccccc"	"dot"	5	0
"43"	"s43"	"DG(18:2/22:5)"	"DG(18:2/22:5)"	"#cccccc"	"dot"	5	0
"44"	"s44"	"DG(18:2/22:6)"	"DG(18:2/22:6)"	"#cccccc"	"dot"	5	0
"45"	"s45"	"DG(20:0/20:0)"	"DG(20:0/20:0)"	"#cccccc"	"dot"	5	0
"46"	"s46"	"TG(36:0)"	"TG(36:0)"	"#cccccc"	"dot"	5	0
"47"	"s47"	"TG(38:0)"	"TG(38:0)"	"#cccccc"	"dot"	5	0
"48"	"s48"	"TG(40:0)"	"TG(40:0)"	"#cccccc"	"dot"	5	0
"49"	"s49"	"TG(42:0)"	"TG(42:0)"	"#cccccc"	"dot"	5	0
"50"	"s50"	"TG(42:1)"	"TG(42:1)"	"#cccccc"	"dot"	5	0
"51"	"s51"	"TG(42:2)"	"TG(42:2)"	"#cccccc"	"dot"	5	0
"52"	"s52"	"TG(44:0)"	"TG(44:0)"	"#cccccc"	"dot"	5	0
"53"	"s53"	"TG(44:1)"	"TG(44:1)"	"#cccccc"	"dot"	5	0
"54"	"s54"	"TG(44:2)"	"TG(44:2)"	"#cccccc"	"dot"	5	0
"55"	"s55"	"TG(44:3)"	"TG(44:3)"	"#cccccc"	"dot"	5	0
"56"	"s56"	"TG(45:0)"	"TG(45:0)"	"#cccccc"	"dot"	5	0
"57"	"s57"	"TG(45:1)"	"TG(45:1)"	"#cccccc"	"dot"	5	0
"58"	"s58"	"TG(46:0)"	"TG(46:0)"	"#cccccc"	"dot"	5	0
"59"	"s59"	"TG(46:1)"	"TG(46:1)"	"#cccccc"	"dot"	5	0
"60"	"s60"	"TG(46:2)"	"TG(46:2)"	"#cccccc"	"dot"	5	0
"61"	"s61"	"TG(46:3)"	"TG(46:3)"	"#cccccc"	"dot"	5	0
"62"	"s62"	"TG(46:4)"	"TG(46:4)"	"#cccccc"	"dot"	5	0
"63"	"s63"	"TG(47:0)"	"TG(47:0)"	"#cccccc"	"dot"	5	0
"64"	"s64"	"TG(47:1)"	"TG(47:1)"	"#cccccc"	"dot"	5	0
"65"	"s65"	"TG(47:2)"	"TG(47:2)"	"#cccccc"	"dot"	5	0
"66"	"s66"	"TG(48:0)"	"TG(48:0)"	"#cccccc"	"dot"	5	0
"67"	"s67"	"TG(48:1)"	"TG(48:1)"	"#cccccc"	"dot"	5	0
