"","variable_id","ENTREZID"
"1","transcriptome_A1BG","1"
"2","transcriptome_A1CF","29974"
"3","transcriptome_A2M","2"
"4","transcriptome_A2ML1","144568"
"5","transcriptome_AAGAB","79719"
"6","transcriptome_AAK1","22848"
"7","transcriptome_AAMDC","28971"
"8","transcriptome_AAMP","14"
"9","transcriptome_AASDH","132949"
"10","transcriptome_ABAT","18"
"11","transcriptome_ABCA1","19"
"12","transcriptome_ABCA2","20"
"13","transcriptome_ABCA3","21"
"14","transcriptome_ABCA4","24"
"15","transcriptome_ABCA7","10347"
"16","transcriptome_ABCB4","5244"
"17","transcriptome_ABCB6","10058"
"18","transcriptome_ABCB8","11194"
"19","transcriptome_ABCC1","4363"
"20","transcriptome_ABCC10","89845"
"21","transcriptome_ABCC3","8714"
"22","transcriptome_ABCC4","10257"
"23","transcriptome_ABCD1","215"
"24","transcriptome_ABCE1","6059"
"25","transcriptome_ABCF1","23"
"26","transcriptome_ABCF2","10061"
"27","transcriptome_ABCG1","9619"
"28","transcriptome_ABHD11","83451"
"29","transcriptome_ABHD12","26090"
"30","transcriptome_ABHD12B","145447"
"31","transcriptome_ABHD15","116236"
"32","transcriptome_ABHD16B","140701"
"33","transcriptome_ABHD17A","81926"
"34","transcriptome_ABHD8","79575"
"35","transcriptome_ABI1","10006"
"36","transcriptome_ABI2","10152"
"37","transcriptome_ABI3","51225"
"38","transcriptome_ABL1","25"
"39","transcriptome_ABL2","27"
"40","transcriptome_ABLIM3","22885"
"41","transcriptome_ABR","29"
"42","transcriptome_ABRA","137735"
"43","transcriptome_ABRACL","58527"
"44","transcriptome_ABT1","29777"
"45","transcriptome_ABTB2","25841"
"46","transcriptome_ACAA1","30"
"47","transcriptome_ACAA2","10449"
"48","transcriptome_ACACA","31"
"49","transcriptome_ACACB","32"
"50","transcriptome_ACAD11","84129"
"51","transcriptome_ACAD8","27034"
"52","transcriptome_ACADM","34"
"53","transcriptome_ACADVL","37"
"54","transcriptome_ACAN","176"
"55","transcriptome_ACAP2","23527"
"56","transcriptome_ACAT1","38"
"57","transcriptome_ACBD3","64746"
"58","transcriptome_ACBD4","79777"
"59","transcriptome_ACBD5","91452"
"60","transcriptome_ACBD6","84320"
"61","transcriptome_ACD","65057"
"62","transcriptome_ACKR4","51554"
"63","transcriptome_ACMSD","130013"
"64","transcriptome_ACO1","48"
"65","transcriptome_ACO2","50"
"66","transcriptome_ACOT13","55856"
"67","transcriptome_ACOT2","10965"
"68","transcriptome_ACOT7","11332"
"69","transcriptome_ACOT8","10005"
"70","transcriptome_ACOX1","51"
"71","transcriptome_ACP2","53"
"72","transcriptome_ACP5","54"
"73","transcriptome_ACRBP","84519"
"74","transcriptome_ACSBG1","23205"
"75","transcriptome_ACSBG2","81616"
"76","transcriptome_ACSF3","197322"
"77","transcriptome_ACSL1","2180"
"78","transcriptome_ACSL4","2182"
"79","transcriptome_ACSL5","51703"
"80","transcriptome_ACSM1","116285"
"81","transcriptome_ACSM3","6296"
"82","transcriptome_ACSS1","84532"
"83","transcriptome_ACTA2","59"
"84","transcriptome_ACTB","60"
"85","transcriptome_ACTG1","71"
"86","transcriptome_ACTL10","170487"
"87","transcriptome_ACTL7A","10881"
"88","transcriptome_ACTN1","87"
"89","transcriptome_ACTN3","89"
"90","transcriptome_ACTN4","81"
"91","transcriptome_ACTR10","55860"
"92","transcriptome_ACTR1A","10121"
"93","transcriptome_ACTR1B","10120"
"94","transcriptome_ACTR3","10096"
"95","transcriptome_ACTR3C","653857"
"96","transcriptome_ACTR6","64431"
"97","transcriptome_ACTRT3","84517"
"98","transcriptome_ACVR2A","92"
"99","transcriptome_ACYP2","98"
"100","transcriptome_ADA","100"
"101","transcriptome_ADAD2","161931"
"102","transcriptome_ADAL","161823"
"103","transcriptome_ADAM10","102"
"104","transcriptome_ADAM12","8038"
"105","transcriptome_ADAM15","8751"
"106","transcriptome_ADAM17","6868"
"107","transcriptome_ADAM19","8728"
"108","transcriptome_ADAM21","8747"
"109","transcriptome_ADAM22","53616"
"110","transcriptome_ADAM28","10863"
"111","transcriptome_ADAM8","101"
"112","transcriptome_ADAMTS10","81794"
"113","transcriptome_ADAMTS13","11093"
"114","transcriptome_ADAMTS2","9509"
"115","transcriptome_ADAMTS4","9507"
"116","transcriptome_ADAMTS8","11095"
"117","transcriptome_ADAMTSL4","54507"
"118","transcriptome_ADAMTSL5","339366"
"119","transcriptome_ADAP1","11033"
"120","transcriptome_ADAR","103"
"121","transcriptome_ADARB2","105"
"122","transcriptome_ADAT1","23536"
"123","transcriptome_ADCK2","90956"
"124","transcriptome_ADCY1","107"
"125","transcriptome_ADCY10","55811"
"126","transcriptome_ADCY3","109"
"127","transcriptome_ADCY4","196883"
"128","transcriptome_ADCY5","111"
"129","transcriptome_ADCY7","113"
"130","transcriptome_ADCY9","115"
"131","transcriptome_ADD1","118"
"132","transcriptome_ADD3","120"
"133","transcriptome_ADH1A","124"
"134","transcriptome_ADH5","128"
"135","transcriptome_ADH6","130"
"136","transcriptome_ADIPOR1","51094"
"137","transcriptome_ADIPOR2","79602"
"138","transcriptome_ADNP","23394"
"139","transcriptome_ADORA2B","136"
"140","transcriptome_ADPGK","83440"
"141","transcriptome_ADPRH","141"
"142","transcriptome_ADRA2A","150"
"143","transcriptome_ADRM1","11047"
"144","transcriptome_AEBP1","165"
"145","transcriptome_AFF3","3899"
"146","transcriptome_AFF4","27125"
"147","transcriptome_AFG3L2","10939"
"148","transcriptome_AFTPH","54812"
"149","transcriptome_AGA","175"
"150","transcriptome_AGAP2","116986"
"151","transcriptome_AGAP3","116988"
"152","transcriptome_AGBL3","340351"
"153","transcriptome_AGFG1","3267"
"154","transcriptome_AGFG2","3268"
"155","transcriptome_AGGF1","55109"
"156","transcriptome_AGK","55750"
"157","transcriptome_AGMAT","79814"
"158","transcriptome_AGO2","27161"
"159","transcriptome_AGO4","192670"
"160","transcriptome_AGPAT3","56894"
"161","transcriptome_AGPAT4","56895"
"162","transcriptome_AGPS","8540"
"163","transcriptome_AGR2","10551"
"164","transcriptome_AGRP","181"
"165","transcriptome_AGTPBP1","23287"
"166","transcriptome_AHCTF1","25909"
"167","transcriptome_AHCYL2","23382"
"168","transcriptome_AHDC1","27245"
"169","transcriptome_AHNAK","79026"
"170","transcriptome_AHNAK2","113146"
"171","transcriptome_AHR","196"
"172","transcriptome_AIDA","64853"
"173","transcriptome_AIF1","199"
"174","transcriptome_AIFM1","9131"
"175","transcriptome_AIM2","9447"
"176","transcriptome_AIMP1","9255"
"177","transcriptome_AIMP2","7965"
"178","transcriptome_AIP","9049"
"179","transcriptome_AIRE","326"
"180","transcriptome_AK2","204"
"181","transcriptome_AK3","50808"
"182","transcriptome_AK5","26289"
"183","transcriptome_AK8","158067"
"184","transcriptome_AKAP11","11215"
"185","transcriptome_AKAP12","9590"
"186","transcriptome_AKAP13","11214"
"187","transcriptome_AKAP14","158798"
"188","transcriptome_AKAP5","9495"
"189","transcriptome_AKAP7","9465"
"190","transcriptome_AKAP8","10270"
"191","transcriptome_AKAP9","10142"
"192","transcriptome_AKIRIN2","55122"
"193","transcriptome_AKR1C2","1646"
"194","transcriptome_AKR1C3","8644"
"195","transcriptome_AKR1C4","1109"
"196","transcriptome_AKT1","207"
"197","transcriptome_AKT1S1","84335"
"198","transcriptome_AKT2","208"
"199","transcriptome_AKTIP","64400"
"200","transcriptome_ALAS2","212"
"201","transcriptome_ALDH1A3","220"
"202","transcriptome_ALDH1L2","160428"
"203","transcriptome_ALDH5A1","7915"
"204","transcriptome_ALDH6A1","4329"
"205","transcriptome_ALDH9A1","223"
"206","transcriptome_ALDOA","226"
"207","transcriptome_ALG1","56052"
"208","transcriptome_ALG12","79087"
"209","transcriptome_ALG13","79868"
"210","transcriptome_ALG1L2","644974"
"211","transcriptome_ALG6","29929"
"212","transcriptome_ALK","238"
"213","transcriptome_ALKBH4","54784"
"214","transcriptome_ALKBH5","54890"
"215","transcriptome_ALMS1","7840"
"216","transcriptome_ALOX12","239"
"217","transcriptome_ALOX12B","242"
"218","transcriptome_ALX3","257"
"219","transcriptome_AMBN","258"
"220","transcriptome_AMBRA1","55626"
"221","transcriptome_AMD1","262"
"222","transcriptome_AMDHD2","51005"
"223","transcriptome_AMFR","267"
"224","transcriptome_AMIGO1","57463"
"225","transcriptome_AMIGO2","347902"
"226","transcriptome_AMIGO3","386724"
"227","transcriptome_AMMECR1","9949"
"228","transcriptome_AMMECR1L","83607"
"229","transcriptome_AMN1","196394"
"230","transcriptome_AMPD2","271"
"231","transcriptome_AMPH","273"
"232","transcriptome_AMT","275"
"233","transcriptome_AMZ1","155185"
"234","transcriptome_ANAPC10","10393"
"235","transcriptome_ANAPC11","51529"
"236","transcriptome_ANAPC13","25847"
"237","transcriptome_ANAPC15","25906"
"238","transcriptome_ANAPC16","119504"
"239","transcriptome_ANAPC5","51433"
"240","transcriptome_ANGPT2","285"
"241","transcriptome_ANGPT4","51378"
"242","transcriptome_ANGPTL1","9068"
"243","transcriptome_ANGPTL3","27329"
"244","transcriptome_ANGPTL4","51129"
"245","transcriptome_ANGPTL6","83854"
"246","transcriptome_ANGPTL7","10218"
"247","transcriptome_ANK2","287"
"248","transcriptome_ANK3","288"
"249","transcriptome_ANKAR","150709"
"250","transcriptome_ANKDD1A","348094"
"251","transcriptome_ANKH","56172"
"252","transcriptome_ANKIB1","54467"
"253","transcriptome_ANKLE1","126549"
"254","transcriptome_ANKLE2","23141"
"255","transcriptome_ANKRD12","23253"
"256","transcriptome_ANKRD13A","88455"
"257","transcriptome_ANKRD13C","81573"
"258","transcriptome_ANKRD13D","338692"
"259","transcriptome_ANKRD17","26057"
"260","transcriptome_ANKRD23","200539"
"261","transcriptome_ANKRD26","22852"
"262","transcriptome_ANKRD27","84079"
"263","transcriptome_ANKRD28","23243"
"264","transcriptome_ANKRD33B","651746"
"265","transcriptome_ANKRD36","375248"
"266","transcriptome_ANKRD37","353322"
"267","transcriptome_ANKRD40","91369"
"268","transcriptome_ANKRD42","338699"
"269","transcriptome_ANKRD44","91526"
"270","transcriptome_ANKRD52","283373"
"271","transcriptome_ANKRD53","79998"
"272","transcriptome_ANKRD55","79722"
"273","transcriptome_ANKRD6","22881"
"274","transcriptome_ANKRD61","100310846"
"275","transcriptome_ANKS3","124401"
"276","transcriptome_ANKZF1","55139"
"277","transcriptome_ANLN","54443"
"278","transcriptome_ANO7","50636"
"279","transcriptome_ANO8","57719"
"280","transcriptome_ANO9","338440"
"281","transcriptome_ANP32A","8125"
"282","transcriptome_ANP32B","10541"
"283","transcriptome_ANPEP","290"
"284","transcriptome_ANTXR1","84168"
"285","transcriptome_ANTXR2","118429"
"286","transcriptome_ANXA1","301"
"287","transcriptome_ANXA10","11199"
"288","transcriptome_ANXA11","311"
"289","transcriptome_ANXA2R","389289"
"290","transcriptome_ANXA4","307"
"291","transcriptome_ANXA5","308"
"292","transcriptome_ANXA6","309"
"293","transcriptome_ANXA9","8416"
"294","transcriptome_AOAH","313"
"295","transcriptome_AP1AR","55435"
"296","transcriptome_AP1B1","162"
"297","transcriptome_AP1G1","164"
