"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Unclassified_Fusobacterium"
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Unclassified_Selenomonadaceae","Unclassified_Selenomonadaceae"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Megasphaera","micronuciformis"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Unclassified_Leptotrichiaceae","Unclassified_Leptotrichiaceae"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga","Unclassified_Capnocytophaga"
"Bacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Atopobiaceae","Lancefieldella","Unclassified_Lancefieldella"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Oribacterium","sinus"
"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Solobacterium","moorei"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella","Unclassified_Catonella"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Moraxella","Unclassified_Moraxella"
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","graevenitzii"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Unclassified_Weeksellaceae","Unclassified_Weeksellaceae"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Stomatobaculum","longum"
"Bacteria","Bacteroidetes","Unclassified_Bacteroidetes","Unclassified_Bacteroidetes","Unclassified_Bacteroidetes","Unclassified_Bacteroidetes","Unclassified_Bacteroidetes"
"Bacteria","Firmicutes","Negativicutes","Selenomonadales","Selenomonadaceae","Selenomonas","sputigena"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia","mirabilis"
"Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema","Unclassified_Treponema"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella","Unclassified_Granulicatella"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Unclassified_Chryseobacterium"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Aerococcus","christensenii"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Unclassified_Acinetobacter"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Unclassified_Prevotellaceae","Unclassified_Prevotellaceae"
"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Neobacillus","Unclassified_Neobacillus"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium","Unclassified_Cloacibacterium"
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Winkia","Unclassified_Winkia"
"Bacteria","Proteobacteria","Unclassified_Proteobacteria","Unclassified_Proteobacteria","Unclassified_Proteobacteria","Unclassified_Proteobacteria","Unclassified_Proteobacteria"
"Bacteria","Proteobacteria","Gammaproteobacteria","Cardiobacteriales","Cardiobacteriaceae","Cardiobacterium","hominis"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Unclassified_Rhodobacteraceae","Unclassified_Rhodobacteraceae"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Unclassified_Facklamia"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII","Unclassified_Clostridiales_Incertae_Sedis_XIII"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Microbacterium","Unclassified_Microbacterium"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","Unclassified_Variovorax"
"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Gordonia","Unclassified_Gordonia"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unclassified_Sphingomonadaceae","Unclassified_Sphingomonadaceae"
"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Mycobacteriaceae","Mycobacterium","Unclassified_Mycobacterium"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Azospirillaceae","Skermanella","aerolata"
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium","Unclassified_Sphingobacterium"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Unclassified_Micrococcaceae","Unclassified_Micrococcaceae"
"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas","Unclassified_Blastomonas"
"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unclassified_Xanthomonadaceae","Unclassified_Xanthomonadaceae"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","Unclassified_Polaromonas"
"Bacteria","Acidobacteria","Acidobacteria_Gp6","Gp6","Unclassified_Gp6","Unclassified_Gp6","Unclassified_Gp6"
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","deserti"
"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella","Unclassified_Daejeonella"
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Unclassified_Dyadobacter"
