"Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","Unclassified_Prevotella"
"Bacteria","Proteobacteria","Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria"
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Unclassified_Neisseriales","Unclassified_Neisseriales","Unclassified_Neisseriales"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Anaerococcus","Unclassified_Anaerococcus"
"Bacteria","Cyanobacteria/Chloroplast","Chloroplast","Chloroplast","Streptophyta","Unclassified_Streptophyta","Unclassified_Streptophyta"
"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Campylobacteraceae","Campylobacter","ureolyticus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto","Unclassified_Clostridium_sensu_stricto"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Unclassified_Micrococcus"
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unclassified_Neisseriaceae","Unclassified_Neisseriaceae"
"Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Negativicoccus","Unclassified_Negativicoccus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellamassilia","Unclassified_Prevotellamassilia"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unclassified_Rhizobiales","Unclassified_Rhizobiales","Unclassified_Rhizobiales"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","lactis"
"Bacteria","Candidatus_Saccharibacteria","Unclassified_Candidatus_Saccharibacteria","Unclassified_Candidatus_Saccharibacteria","Unclassified_Candidatus_Saccharibacteria","Unclassified_Candidatus_Saccharibacteria","Unclassified_Candidatus_Saccharibacteria"
"Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Kingella","Unclassified_Kingella"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Roseomonas","Unclassified_Roseomonas"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Variovorax","boronicumulans"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Dermabacteraceae","Brachybacterium","muris"
"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Massilia","Unclassified_Massilia"
"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Gordoniaceae","Williamsia","Unclassified_Williamsia"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Janibacter","hoylei"
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae","Hymenobacter","Unclassified_Hymenobacter"
"Bacteria","Actinobacteria","Actinobacteria","Mycobacteriales","Nocardiaceae","Rhodococcus","Unclassified_Rhodococcus"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptoniphilaceae","Ezakiella","Unclassified_Ezakiella"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Unclassified_Chryseobacterium"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Cloacibacterium","Unclassified_Cloacibacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Unclassified_Lachnoanaerobaculum"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella","tannerae"
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Aerococcaceae","Facklamia","Unclassified_Facklamia"
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Enhydrobacter","aerosaccus"
"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Microlunatus","Unclassified_Microlunatus"
"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Dyadobacter","Unclassified_Dyadobacter"
"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","Unclassified_Flavobacterium"
"Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Fudania","Unclassified_Fudania"
"Bacteria","Actinobacteria","Actinobacteria","Nakamurellales","Nakamurellaceae","Nakamurella","Unclassified_Nakamurella"
"Bacteria","Bacteroidetes","Chitinophagia","Chitinophagales","Chitinophagaceae","Segetibacter","Unclassified_Segetibacter"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Catonella","Unclassified_Catonella"
"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Ornithinimicrobium","Unclassified_Ornithinimicrobium"
"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatirosa","Unclassified_Gemmatirosa"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","loti"
"Bacteria","Cyanobacteria/Chloroplast","Cyanobacteria","Family_I","Unclassified_Family_I","Unclassified_Family_I","Unclassified_Family_I"
