"variable_id","membership.x","cluster","cluster_raw","SYMBOL","ENTREZID","GENENAME","ALIAS","GENETYPE","ACCNUM","UCSCKG","ENSEMBL","UNIPROT","mz","rt","na_freq","na_freq.1","polarity","column","mode","test_name","Decsription","Category","LipidClass","Lipid_Name","Lipid_Name_Tot","Lipid_Name_LION","Lipid_Class_Detailed","Lipid_Class","FA_1","FA_2","FA_All","Sat_status_FA1","Sat_status_FA2","Saturation_All","OddEven_FA1","OddEven_FA2","OddEven_All","Omega_FA1","Omega_FA2","Omega_All","HMDB_ID","KEGG_ID","LION_ID","cellular_component","Function","Total_Carb","Total_Unsat","Carbon_numb_FA1","Carbon_numb_FA2","CarbonFA_All","Unsat_numb_FA1","Unsat_numb_FA2","UnsatFA_All","PhysicoChemical","PathwaysKegg","membership.y","mol_name","Kingdom","Phylum","Class","Order","Family","Genus","Species","class","Compound.name","CAS.ID","HMDB.ID","KEGG.ID","Lab.ID","Adduct","mz.error","mz.match.score","RT.error","RT.match.score","CE","SS","Total.score","Database","Level"
"metabolomics_M100T71_POS_RPLC",0.903434017437658,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.075618943727,70.6175,0.00735294117647059,0.0162337662337662,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-piperidinone",NA,NA,NA,NA,NA,NA,NA,"metabolomics","2-piperidinone","675-20-7","HMDB0011749","C10482","RPLC_454","(M+H)+",1.54055786250495,0.998103146482687,6.48218759,0.976926604296174,"NCE50",0.999999621220172,0.993757248304801,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M101T36_POS_RPLC",0.999984351454923,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.059677788469,36.4621,0,0,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Senecioic acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Senecioic acid","541-47-9","HMDB0000509","C08738","n00062","(M+H)+",0.532733155012011,0.999772982080909,NA,NA,"20",0.545245378192758,0.715693229650815,"NIST_20220425",2
"metabolomics_M120T294_POS_RPLC",0.976503411287823,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,120.044266560921,294.307,0.0147058823529412,0.269480519480519,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Aminobenzoic acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","2-Aminobenzoic acid","118-92-3","HMDB0001123","C00108","RP011502","(M+H-H2O)+",0.736175537490169,0.99956653043749,NA,NA,"20",0.66527200352724,0.790632451118584,"MassBank_2022-04-27",2
"metabolomics_M123T62_POS_RPLC",0.998910744876119,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.055241604481,62.04835,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nicotinamide",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Nicotinamide","98-92-0","HMDB0001406","C00153","RPLC_656","(M+H)+",1.76163370500859,0.997520396659227,7.816332,0.966627864952433,"NCE50",0.818283198771064,0.900178664788447,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M129T41_POS_RPLC",0.999043729040478,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,129.065716005328,40.7013,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dihydrothymine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Dihydrothymine","19140-80-8","HMDB0000079","C00906","RPLC_77","(M+H)+",0.336547852484159,0.999909392539495,2.558352,0.996370400226269,"NCE25",0.594871411743659,0.796505654063271,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M130T52_POS_RPLC",0.999999398168845,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.064974913708,51.5761,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isoquinoline",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Isoquinoline","119-65-3","HMDB0034244","C06323","HMDB0034244_27_shen","(M+H)+",0.557703847476887,0.999751204089644,NA,NA,"Unknown_20",0.69776690129826,0.811011014845029,"HMDB_2022-04-11",2
"metabolomics_M132T35_2_POS_RPLC",0.999983118255569,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.10186463183,34.5925,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L-Leucine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","L-Leucine","61-90-5","HMDB0000687","C00123","HMDB0000687_12_shen","(M+H)+",0.043820092443525,0.999998463840779,NA,NA,"10",0.736861659438223,0.835537961089181,"HMDB_2022-04-11",2
"metabolomics_M137T486_POS_RPLC",0.999999980846128,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,137.132354137537,486.437,0,0.025974025974026,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(-)-Isoborneol",NA,NA,NA,NA,NA,NA,NA,"metabolomics","(-)-Isoborneol","10334-13-1","HMDB0035819",NA,"HMDB0035819_8_shen","(M+H-H2O)+",0.314164887527113,0.999921043455988,NA,NA,"4",0.625276933477546,0.765768474719462,"HMDB_2022-04-11",2
"metabolomics_M144T52_POS_RPLC",0.999999858691852,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.080701106244,51.5632,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-Aminonaphthalene",NA,NA,NA,NA,NA,NA,NA,"metabolomics","2-Aminonaphthalene","91-59-8","HMDB0041802","C02227","LU051601","(M+H)+",1.04174804747004,0.999132185573406,NA,NA,"15",0.718637630269817,0.823823088508663,"MassBank_2022-04-27",2
"metabolomics_M146T248_POS_RPLC",0.999999999927097,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.060041261399,248,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indole-3-carboxaldehyde",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Indole-3-carboxaldehyde","487-89-8","HMDB0029737","C08493","UA005101","(M+H)+",0.057640569934847,0.99999734205529,NA,NA,"50 % (nominal)",0.977985940219352,0.986240215907829,"MassBank_2022-04-27",2
"metabolomics_M154T34_POS_RPLC",0.999999999922958,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.122643865549,34.28145,0.139705882352941,0.441558441558442,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gabapentin",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Gabapentin","60142-96-3","HMDB0005015","C07018","RPLC_86","(M+H-H2O)+",0.109066127507162,0.999990483709145,4.74698501,0.9875592195651,"NCE50",0.789301884711979,0.891538368174551,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M160T52_POS_RPLC",0.99999999999815,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,160.075524210158,52.1651,0,0.0151515151515152,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indoleacetaldehyde",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Indoleacetaldehyde","2591-98-2","HMDB0001190","C00637","HMDB0001190_6_shen","(M+H)+",0.41912587995796,0.999859476671727,NA,NA,"Unknown_3",0.587062415111698,0.741861313196709,"HMDB_2022-04-11",2
"metabolomics_M166T74_POS_RPLC",0.900624377598167,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.072372065017,73.864,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7-methylguanine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","7-methylguanine","578-76-7","HMDB0000897","C02242","RPLC_435","(M+H)+",1.1655915575659,0.998913707500077,0.970989590000002,0.999476347829298,"NCE25",0.876362899376977,0.937778963520832,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M166T37_1_POS_RPLC",0.999999997878508,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,166.086201960755,36.5015,0,0,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Phenylalanine",NA,NA,NA,NA,NA,NA,NA,"metabolomics","Phenylalanine","63-91-2","HMDB0000159","C00079","RPLC_200","(M+H)+",1.07940335745127,0.999068344973824,0.671239800000002,0.999749718620554,"NCE25",0.991235738219388,0.995322385008288,"Michael_Snyder_RPLC_20220424",1
"metabolomics_M207T52_POS_RPLC",0.999999999879883,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,207.10371242013,51.5732,0,0.00216450216450216,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"alpha-Guanidinoglutaric Acid",NA,NA,NA,NA,NA,NA,NA,"metabolomics","alpha-Guanidinoglutaric Acid","73477-53-9","HMDB0000296","C03140","M1137","(M+NH4)+",12.1257934574714,0.88902680365594,NA,NA,"20",0.619841585180043,0.720786042108504,"METLIN_20220425",2
"metabolomics_M219T505_POS_RPLC",0.999906090555628,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.17432588178,505.494,0,0.170995670995671,"positive","RPLC","RPLC_positive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(+)-4,11-Eudesmadien-3-one",NA,NA,NA,NA,NA,NA,NA,"metabolomics","(+)-4,11-Eudesmadien-3-one","473-08-5","HMDB0037061","C17090","NA000861","(M+H)+",0.476013182506563,0.99981874558863,NA,NA,"10 % (nominal)",0.668362544337347,0.792658619806578,"MassBank_2022-04-27",2
