	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
ASV1	0.135052928417304	0.16217870408475	0.163208748045755	0.17951792665907	0.194611047270297	0.170713358188273	0.182977800643245
ASV2	0.491943987245129	0.416030727244716	0.417924027461868	0.499247895256128	0.420027164160269	0.328252795500396	0.411923016354687
ASV4	0.259082488089726	0.258961657737365	0.224582461364077	0.113661778290768	0.194340648111941	0.297197937174436	0.185552978338778
ASV5	0.0002146097131698	5.06723761564302e-05	6.83913406284411e-07	3.94883975590103e-05	0.00132702789863774	0.00175823029742669	0.00135444898322672
ASV11	0.00226380447817552	0.011112952129689	0.0273732818952029	0.0351859633279357	0.0238871042100616	0.00689342760079149	0.00409027169264733
ASV12	0.000857849571169532	0.000221338504350778	8.68673343400937e-05	7.81201652481586e-05	0.000735126963618606	0.000835625913453341	0.0003433236934448
ASV13	0.0206518718660572	0.038824564683337	0.0383833021865934	0.0346530426386346	0.0371902072293838	0.0340677294915408	0.0450627950343336
ASV15	0.0359187027951438	0.0203025642012466	0.0191731643641889	0.0233428909648578	0.0159279042109747	0.0074547693742476	0.0142808049805887
ASV17	0.00684264181175134	0.0120271450494189	0.014509780539391	0.0160500248744741	0.0135651747257823	0.0172474681464807	0.0226492946733706
ASV26	0.000116379346571271	3.60231464605855e-05	9.24368465077935e-06	0	0.000106106075936256	9.32683430467635e-05	0.000249143176229394
ASV27	0.000107220665283349	3.99298686886656e-05	1.50713253048695e-05	4.61759854893152e-06	0.000142183218432645	0.000395275901231495	0.00250998821290635
ASV29	0.00655875329735383	0.0168576208242847	0.0261271651218097	0.0317047423031138	0.00959499462903559	0.016270687385246	0.0221802322703756
ASV31	0.00162996711945944	0.00305108593948019	0.00234496266878557	0.00235012555870083	0.0026926659058262	0.00377943663366171	0.00275544876014388
ASV33	8.85544405444705e-06	8.65499519684318e-06	4.78484467962663e-06	7.25423694980586e-07	2.61514686817877e-05	3.2549693190213e-05	6.04506699498761e-06
ASV34	0.00338243176880656	0.00610357255884535	0.00809658603889186	0.00925221481652586	0.0132981954360946	0.012900578136682	0.00588326830591158
ASV39	0.00396345700834806	0.00779830935539986	0.010553651425113	0.0116435366458669	0.0129722370068432	0.0151561376120586	0.019138713317639
ASV43	0.000249581805252445	3.93006713231628e-05	1.44927162594878e-05	1.79837002706419e-05	6.64350375190704e-05	0.000117950043986387	5.53246751377881e-05
ASV48	0.000175247933947459	5.86419074498275e-05	2.29983253270183e-05	3.13759857074495e-05	0.000269784335265893	0.000356164845086242	0.00240300991972326
ASV57	5.63928693978842e-05	6.64154854894062e-05	3.8986229692807e-05	3.60619266566149e-06	0.0001306347313822	0.00022388177643791	0.000187876901772002
ASV59	0.00528817174349367	0.0097111229108082	0.0107715967958163	0.013047717795291	0.0168482772482855	0.0206059303647194	0.0150632919689359
ASV61	3.12257374435504e-07	7.75233267553863e-07	5.87212725037222e-07	2.23564785291161e-07	3.00249835054839e-05	0.000111233304958883	0.000295143254907712
ASV65	4.85593540555396e-06	4.29295012186929e-06	1.22088171248016e-06	2.74735145323854e-07	0.00011034657666832	0.00021215782528854	0.000157449955360519
ASV67	0.000157420899440835	9.8429668767494e-05	2.7957877255374e-05	1.94961020434874e-05	4.50957439133168e-05	0.000546411936928139	0.000929736403339397
ASV69	0.00321972126870232	0.00787650280366133	0.00458819227580442	0.00129470148963912	0.00344509959347328	0.00269944606517101	0.00654996119559271
ASV75	4.55701639826839e-07	0	1.43512430611115e-06	1.55668710379176e-05	1.63223851137491e-05	2.31545044859158e-05	2.89648941444369e-05
ASV77	4.47809511361889e-05	9.63966547198808e-06	2.15561475235131e-06	3.93585431794716e-06	2.23550589471387e-05	8.93021291912811e-05	0.000534694995709531
ASV78	5.31817818194432e-05	1.54594003277091e-05	8.93870573947012e-07	6.82834811063256e-06	0.000114768149649117	0.000236563200785021	0.00109725406827728
