"variable_id","UNIPROT"
"IL17F","Q96PD4"
"FASL",NA
"TGFA","P01135{}F8VNR3{}E7EPT6"
"MIP1A",NA
"SDF1A",NA
"IL27","Q8NEV9"
"LIF","P15018"
"IL1B","P01584"
"IL2","P60568{}Q0GK43"
"IL4","D4HNR6{}P05112{}Q5FC01"
"IL5","P05113"
"IP10",NA
"IL6","B4DVM1{}P05231{}Q75MH2{}B5MC21{}B4DNQ5"
"IL7","A8K673{}P13232{}A0A0A0MTG5{}Q5FBX5"
"IL8",NA
"IL10","P22301{}Q6FGW4"
"IFNB",NA
"EOTAXIN",NA
"IL12P70",NA
"IL13","P35225"
"IL17A","Q16552"
"IL31","Q6EBC2"
"IL1RA",NA
"SCF",NA
"RANTES",NA
"IFNG","P01579"
"GMCSF",NA
"TNFA",NA
"HGF","P14210"
"MIP1B",NA
"IFNA",NA
"TGFB",NA
"MCP1",NA
"IL9","P15248"
"VEGFD","O43915"
"TNFB",NA
"NGF","P01138"
"EGF","P01133"
"BDNF","A0A0E3SU01{}P23560"
"TRAIL",NA
"GCSF",NA
"GROA",NA
"IL1A","P01583"
"IL23",NA
"IL12P40",NA
"IL15","P40933"
"IL18","A0A024R3E0{}Q14116"
"MCSF",NA
"MCP3",NA
"MIG",NA
"RESISTIN",NA
"IL21","Q9HBE4{}A0A224B028"
"ICAM1","P05362"
"VCAM1","P19320"
"FGFB",NA
"IL22","Q9GZX6"
"PDGFBB",NA
"VEGF",NA
"LEPTIN",NA
"PAI1",NA
"CD40L",NA
"ENA78",NA
"CHEX1",NA
"CHEX2",NA
"CHEX3",NA
"CHEX4",NA
