	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
IL17F	8.10777035094621	7.75245236711392	7.49301842164908	7.86399948729936	8.51803919810394	8.17842353930335	7.61045099521184
FASL	6.96584275962705	5.02325968685693	4.84702131357684	5.24201004725304	5.10534653821211	4.90691375888283	5.17520323948211
TGFA	6.46625687834345	5.09680134397527	4.34169903255711	4.81588687819516	5.02864728500516	4.76970546979621	4.60827480764155
MIP1A	7.63910463619733	5.7609888622531	6.06959258537965	5.94383152290099	7.52132766452569	6.04997297137057	6.18550421746038
SDF1A	8.75431568382927	7.66483517040609	7.78135294256319	7.93437389786217	8.54116666848483	7.81764064227291	7.93207513212587
IL27	6.78666691375943	5.219274494679	5.13566970471092	5.53872527519738	6.0058925070342	5.17549105250905	5.51014346940064
LIF	5.58586712998109	5.19322097636319	5.2820371892371	5.64708952312345	5.77326903323563	5.48920541546476	5.57292841340907
IL1B	5.06492874521954	4.61449519915795	4.68840312448117	4.82206483222776	4.86093637485668	4.71784282118079	4.84650630249211
IL2	5.13515648820306	4.9616999466644	5.00559735210326	5.16668489235336	5.58953604998604	5.08117075934301	5.21578946919885
IL4	6.97571242040692	5.64270384618331	5.55086781846135	5.98522037943227	6.39442902455262	5.69910643331945	5.9987804639922
IL5	6.14021667549082	5.45753617498928	5.51022411398421	5.90712413598575	6.31914188512701	5.95422083806138	5.66282953643562
IP10	8.03547439977418	6.53858557781427	6.71303634339558	6.95772494008861	7.32503434018491	6.82462412991868	7.13309719080467
IL6	7.20322782845868	5.43263979438283	5.34209638851665	5.68638000145268	5.62949558894938	5.46896178928044	5.49431165530757
IL7	6.80032657178876	6.14883633396301	6.04513468717523	6.34604682824024	6.82682401737799	6.66359980323394	6.23380506234476
IL8	7.36663277602218	6.02933221937271	5.68206055433138	6.23257905303666	6.18053472000003	6.09025498676202	6.3480781803331
IL10	7.69326935244171	6.45389684365086	6.38710999464638	6.61412461260238	6.92252313006657	6.36918560825206	6.56715924648454
IFNB	6.42293518633125	6.33589543505663	6.03361105682459	6.74709620547339	7.15675854925203	6.99479010968215	6.81742954781842
EOTAXIN	6.91943575730141	6.54451713101957	6.68581230422822	6.83619444011062	7.36978353975824	6.93754380256466	6.82931192364647
IL12P70	6.38821885631097	5.45370029902236	5.48573338680223	5.78443320409149	6.20322700149145	5.84159929849031	5.64287457452534
IL13	6.77956926533039	4.71813813781594	4.68419702122956	5.30768270899504	6.05062855203065	5.43801027360451	4.93879556634969
IL17A	6.63538837772425	6.16249433374827	6.28902168962901	6.41355895676319	6.54915892578553	6.39371049034577	6.36972153522777
IL31	4.89214132514425	4.35047544722546	4.29804549865972	4.56747245104012	4.50201285839241	4.39276714683964	4.32681841733694
IL1RA	5.09497790290889	4.64399087628693	4.70177552441212	4.92034664493314	5.04920171317178	4.78505734352289	4.87543266633298
SCF	6.94773713597028	5.9432274639797	6.01736933169673	6.18353486256236	6.63323294283443	6.06447114500528	6.15224034883192
RANTES	11.0792808661006	10.3475099282047	10.3418491617077	10.3989840726612	10.2180197573221	10.2478177443142	10.5203543319736
IFNG	7.20493248520196	5.84550183872237	5.84271580875144	6.13910310419319	6.59326823272522	5.9352859208318	6.13031515206195
GMCSF	7.21386059015198	4.94488889632369	5.39985472920605	5.71179625563143	5.56712579610329	5.82423328557458	5.71626165921752
TNFA	7.9604749527182	7.77995430698212	7.78397111004281	7.86034473243136	7.93998819153588	7.86812768260336	7.87055967800852
HGF	6.08583700189882	6.272172518401	6.36616684108014	6.25884209800768	6.47012969926243	6.30181531908699	6.39878642938013
MIP1B	9.16091087348353	8.4305793332174	8.47034727060353	8.61973456353593	9.03451976021459	8.53965842461842	8.7464881680747
IFNA	7.73167423838396	6.81350080144026	6.81470110923197	7.09882896062016	7.50013419588266	7.14467561125104	6.90308139790608
TGFB	6.32542045122918	5.81881198283748	5.83073874754736	5.98490684180214	6.67329468898441	6.00719145052911	6.04010784436264
MCP1	8.93223270854864	9.06168883859634	9.09760303603132	9.10781675748721	9.28442179980479	9.2786222867915	9.02112932237961
IL9	6.69842193972673	5.04988296099623	4.83106772648551	5.42597707559533	5.6047376200953	5.1762246174313	5.2488222163045
VEGFD	7.11117953547812	6.11015760396998	6.15142675732831	6.30155469059336	6.47138412204967	6.34719245451105	6.55975101049481
TNFB	7.22537378704374	6.03900075269046	5.77788949646355	6.25619471027357	6.22724658069948	6.01466664016634	6.17122792111572
NGF	6.45729209666978	5.40546687463871	5.27811311402925	5.69510576772824	6.10778831886903	5.37223685362991	5.58751583201584
EGF	7.72806055401089	8.39089242265661	8.26202438013233	8.43812657976114	8.49011450474022	8.11904340342443	7.99684503656247
BDNF	11.5180681163502	11.4837974910613	11.5741039258732	11.7422149273823	11.7569913217161	11.6431755057145	11.7165225445244
TRAIL	8.15863062514702	6.89364128721938	6.96135279504614	7.07026346639511	8.11839662558165	6.98426725410696	7.19435767599569
GCSF	6.24950694520722	5.55852424266803	5.49209136082938	5.82676066333392	6.63291528779326	6.231665563346	5.7805039752793
GROA	6.51507589858546	5.34010942894701	5.11503424409969	5.60589350011621	5.59428829901532	5.37280990075336	5.56758976015665
IL1A	8.58135549963814	7.42994491201223	7.4105201993666	7.65920761648893	8.28806493416296	7.64940352687502	7.89601400539036
IL23	7.38913547187885	5.71572759309641	5.65349007265336	5.99237332802963	6.00658792219996	5.82004550431799	5.78190787232368
IL12P40	8.26852750573883	7.88119232732767	7.99978817534385	8.16177345295054	8.1995386713719	8.05984267617749	8.35713218579478
IL15	6.64776953140098	5.65579116230554	5.64604225316401	5.9794117111298	6.44797137767387	5.96975899215087	5.82876829295724
