	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
time	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
M87T34_POS_RPLC	25.2116554377401	25.1185344933646	24.8634804586048	25.2028793518504	25.0092290761054	24.9243982875119	24.9835280333876	24.6919769036729
M90T35_POS_RPLC	22.8928282304596	22.8787703746017	22.6016413871766	22.866388650127	22.8111123302324	23.0337787337549	22.9521265470357	23.3428325793432
M100T71_POS_RPLC	26.8020588461617	25.4059493238192	25.2787431119159	24.5783104502999	24.9907259995225	24.6953264516613	24.6426398568637	24.9864382349806
M101T36_POS_RPLC	26.2644326992811	26.0491188666585	25.9087241290267	26.0542783130328	25.8345271989292	25.8446935099703	26.04794737075	25.8276914496887
M103T381_POS_RPLC	25.7615889569331	25.5889542555488	25.6647982490258	25.6689177644727	25.6459707769833	25.6633920025904	25.6089590124622	25.4350870670616
M114T158_POS_RPLC	23.7410816243196	23.0808160514436	23.4692957557968	23.3414566671436	23.4613273278282	23.4795303933566	23.3840013303775	22.7915689768405
M120T294_POS_RPLC	20.9486708146665	20.0313983081079	20.4873785173033	20.6543445026891	20.3236654206401	20.5349127888747	20.6428146269783	19.7461407232889
M121T177_POS_RPLC	25.9452901435737	25.734683454456	25.8170273621136	25.8618856363624	25.9768136017953	25.9888610884994	25.9993673685093	25.8785043879255
M123T62_POS_RPLC	23.8063836961146	24.0968121752133	23.9187716161048	24.0279869304628	23.8948485874456	23.9175904313205	23.9338326078068	23.7816104535273
M129T41_POS_RPLC	23.6552193978001	23.2509943901251	23.401220965674	23.424798753225	23.4992879397403	23.4847661531003	23.3187889752914	23.4526602044026
M130T34_1_POS_RPLC	24.1874089021579	24.1897607376799	24.2662209693434	24.2438294676371	24.2663850370335	24.397672138569	24.2315732167392	23.9020185865759
M130T52_POS_RPLC	23.427113677926	23.0246888272566	22.9889978612622	22.9633028755524	22.9969860222093	22.9236849266683	22.9429181701618	22.7409621558516
M130T215_POS_RPLC	26.390176192478	26.1792663688606	26.4579548804617	26.478598422047	26.3292554980203	26.460611142714	26.3300957710741	27.0405100311461
M132T35_2_POS_RPLC	25.7305551660727	26.0946393959585	26.0912329443318	25.9329828519223	26.1392726754812	26.1747458469267	25.877878541157	26.1743359631827
M135T442_POS_RPLC	21.2032511149317	21.0279022895234	21.3198801464913	21.4530092540804	21.1030106205141	21.0894961426314	21.169522453638	21.1369221261181
M137T143_POS_RPLC	22.4862272459107	22.361629224808	21.7255935265253	21.9863878736809	22.2695088557343	22.2845806401514	21.9236417790434	22.0180860199756
M137T211_2_POS_RPLC	27.815170755955	28.1017058434015	27.8787720412142	28.0828667726644	27.9568570093705	27.9244743098722	28.0322180297749	27.9092123857092
M137T486_POS_RPLC	21.9717400317751	21.417593217807	21.6016552911723	21.7758278129312	21.7240203492794	21.5168840757618	21.4868066204856	21.5411281062664
M144T52_POS_RPLC	24.5855789905642	24.1510087164107	24.1743704499224	24.1279537728052	24.152482068259	24.1263266479345	24.1354040275621	23.9883077348234
M146T248_POS_RPLC	24.2592199870545	23.5968470379544	23.8070488843117	23.7271614987196	23.8190226585926	23.8208999513365	23.7239227206527	23.723672516194
M153T73_POS_RPLC	25.7044102412258	26.350306255437	26.34225500141	26.4241751660595	26.5284867325313	26.6068872385925	26.6776167761966	26.8580723740631
M154T104_POS_RPLC	21.7502712297613	22.0756139391762	22.33036309352	22.4166424792584	22.3769135969542	22.5564336825195	22.5628728989608	22.7122648792565
M154T34_POS_RPLC	25.1516035382824	24.8029327550986	24.8648601277715	24.853348302979	24.832647216332	24.927036907902	24.7748441607492	25.0107297925216
M155T879_POS_RPLC	21.8692893930237	22.3302556778856	22.5112301646129	22.3396287051825	22.0985130893231	22.1810599158818	22.3530909148706	22.4137171172585
M155T845_POS_RPLC	24.3424349777329	24.7487617641859	24.8909638570971	24.6703856292057	24.3813259108915	24.5641860555448	24.7268541031261	24.9044311098607
M155T486_POS_RPLC	22.0838499242409	21.4168014418188	21.6647223675072	21.8104302740755	21.7260371047285	21.6136789252544	21.5213650224086	20.8593510300906
M160T52_POS_RPLC	22.4264432468963	21.8970561775859	21.9161643096314	21.9986148218271	22.0050571790596	21.9030760795042	21.8771456519382	21.7706771472269
M161T512_POS_RPLC	22.0216198461276	21.910734783921	21.8804816180207	21.936512294282	21.9141458745174	21.960314372901	21.8628130989041	21.732053094364
M162T34_POS_RPLC	30.1992254633219	30.2707025284753	30.2712587362531	30.1116985438824	30.2335306365896	30.3215159634869	30.2787448522476	30.1069072779179
M166T74_POS_RPLC	23.6495225185457	23.4647011892267	23.60638643041	23.646614979041	23.6964437757545	23.6712434871672	23.6173046349748	23.6472978678413
M166T37_1_POS_RPLC	30.9369595294886	30.8522858644073	30.8954834999065	30.7859934610778	30.9018217747128	30.8857601867567	30.8858661472095	30.8593388907479
M167T469_POS_RPLC	24.200718176523	23.9405282407588	24.0168340943425	24.0925526939694	24.0192606368861	24.0615888946199	23.9890091133111	23.7400406293701
M169T97_POS_RPLC	22.5301924202635	22.1634008821879	22.6281088142332	22.5978895933645	22.6034097230453	22.698419865878	22.8266374532953	22.789618839332
M181T548_POS_RPLC	24.6947661873225	24.2806081582233	24.4374628594784	24.5482297899732	24.456579937088	24.5730431644553	24.3918485003086	24.1318957917638
M181T206_POS_RPLC	29.082669495009	27.4251432836385	28.3949013356288	28.5434805064148	28.6939511912489	28.7227458548248	28.7475142000671	27.5440776854146
M182T34_POS_RPLC	24.5918558948219	24.2281738136385	24.4357916321641	24.4236586684854	24.4642501424157	24.627421497853	24.5518417629858	24.4316552678029
M184T776_POS_RPLC	25.1840919755304	24.7617449563476	25.0175114260089	24.9971841524714	24.8706585503881	25.119072303867	25.1256426834431	25.0100315120705
M185T285_POS_RPLC	22.522203899655	22.5819182709615	22.0372499486528	22.0362639610972	22.2304795366357	22.3195930111319	22.0004236228575	21.8486462335809
M190T286_POS_RPLC	24.8081433529645	24.5787735493466	24.7342794209894	25.0172305339513	25.5664943325612	24.8485549051127	24.1150088743542	23.8646134136701
M195T825_POS_RPLC	28.2909012493317	28.2746130349739	28.3351922608819	28.3416017798846	28.2093253079005	28.2366731174052	28.2495455900863	28.4780877119211
M195T274_POS_RPLC	30.0730112978098	27.9110578689907	28.9114240887995	29.2357707601471	28.7226106173167	29.4780776443263	29.4493791146327	28.2582552049409
M196T175_POS_RPLC	21.6199892820752	21.0366592091465	20.2115824458882	20.0323374893246	21.6683110435732	21.3017071996987	22.1610936235395	22.0656462936015
M197T274_POS_RPLC	21.2608586050056	20.1591260660994	20.5169202373566	20.7394460416369	21.1725301927467	20.8579791346503	20.6818026941607	20.152887906151
M197T205_POS_RPLC	24.2653220095064	24.1217968866667	24.7074635525184	24.5651434658692	24.6061749102451	24.9160518796424	25.3139006304394	25.0683842509005
M199T177_POS_RPLC	26.4441191259735	26.2454076024604	26.3482258092655	26.368761536803	26.3155654801488	26.3798504656476	26.3101671619113	25.9441047401892
M202T122_POS_RPLC	24.3421887926546	24.5607276533687	24.4348259866071	24.9998237499774	24.909161387264	24.6777146789473	24.8246011284321	25.8509484777772
M203T34_POS_RPLC	27.3160960721602	27.4454007247152	27.2577398319612	27.3740889281587	27.2616921000146	27.5444763675342	27.5023716045387	27.2233125299299
M205T548_POS_RPLC	24.4139853464853	24.0321020580563	24.1782228889071	24.2685117356857	24.1815310283613	24.2594924641464	24.1317551411441	23.8827127875292
M207T52_POS_RPLC	23.2311187646101	22.8309189044585	22.8206913035272	22.7929521705151	22.8676071931852	22.7935319990184	22.7995518389368	22.6651595280266
M209T496_POS_RPLC	25.1102535498879	25.7690215133934	25.6145177437745	25.5500223492397	25.663538400288	25.6750132880174	25.6489270191692	25.8193573750834
M211T262_POS_RPLC	24.4965740760088	23.7534637531572	24.5345175513772	24.483314519013	24.605814908614	24.9041509696493	24.8572254382065	24.6328806737839
M213T276_POS_RPLC	21.7130507059975	21.6135043634546	21.6639639147584	21.7760005659414	21.9247207553987	21.7808402545346	21.6422753292528	21.3360102948129
M219T505_POS_RPLC	23.0185570223071	22.4142917255684	23.0940547685161	23.0405976012398	22.512644761594	22.6035391335121	22.8076977971121	22.8873279629274
M221T281_POS_RPLC	21.492790876959	21.5099254595676	21.5120046275552	21.9409495364387	21.7966673979705	21.7444708130528	21.6325178371873	21.8528794949116
M221T51_2_POS_RPLC	24.8294782825557	24.5216818807334	24.5759872823171	24.5670554995456	24.4773839374649	24.4718383026688	24.5718628739619	24.4412147280409
M229T483_POS_RPLC	19.0923123793467	18.9307542660048	18.3339232206411	19.4462456567643	19.6294111686048	19.1297615400486	18.9441692637602	18.8870037888813
M231T500_POS_RPLC	21.3555191989494	21.1812827422948	21.5560458460992	21.4966291621845	21.3776695931921	21.3600192813714	21.307130972321	21.0784188810125
M232T53_POS_RPLC	25.0537775580036	25.2157831210115	25.1999217116225	24.9886169508002	25.34966776995	25.1891050822381	25.0680691480351	26.0552440289891
M235T533_POS_RPLC	26.3829263217975	26.1361341891943	26.2413773645099	26.2979800499146	26.2046427524283	26.2449218247202	26.1644936197582	25.9836663013137
