	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
M87T34_POS_RPLC	25.2365349061163	25.1034167832537	25.0909878912712	25.175018093685	25.1247056788686	24.9953744278331	24.9310057781501
M90T35_POS_RPLC	22.8528122355399	22.858156301855	22.8104154332657	22.8786650522827	22.9352074103561	23.009688964018	23.146673696274
M100T71_POS_RPLC	27.0179857162155	26.0874138954186	25.913503900293	25.5041217614513	25.7446293956088	25.5339713188034	25.3405877742024
M101T36_POS_RPLC	26.21086979155	26.0586959526728	26.01740144567	26.0830583767431	25.9017568178047	25.8266355971273	26.011820205094
M103T381_POS_RPLC	25.7133744370462	25.6299333383588	25.6590251658218	25.6763870274359	25.6581836234663	25.6476721687739	25.5895786672388
M114T158_POS_RPLC	23.627159908742	23.4844715006887	23.6276623460293	23.5331389528097	23.6072358211216	23.7026047671853	23.3927389006519
M120T294_POS_RPLC	20.8341687026239	20.2537539586099	20.4862485248453	20.8059198322304	20.5979033174556	20.5722589349049	20.6023417024732
M121T177_POS_RPLC	25.8738285426915	25.7757510643534	25.8180933666423	25.8949183902676	25.9938604713251	26.0288733471678	26.029477806667
M123T62_POS_RPLC	23.9295233460111	24.0269227635169	24.0329582739029	24.1346749122917	23.9395864522563	23.9564887142919	23.9287187016131
M129T41_POS_RPLC	23.5451588013913	23.40367325839	23.4203645080314	23.4519380026771	23.4897283362479	23.4971669268426	23.4288101198636
M130T34_1_POS_RPLC	24.2201855931448	24.3071424579972	24.2936181468041	24.2852991144221	24.3458756782152	24.450113505539	24.1967846678382
M130T52_POS_RPLC	23.4009705278137	23.0343859792104	23.0122580465897	23.0163637414551	23.0292525725342	22.9448696098265	22.881248141512
M130T215_POS_RPLC	26.4296493969504	26.4595962449235	26.7023603096921	26.5696694781419	26.4204885999526	26.5624092477553	26.6713660362541
M132T35_2_POS_RPLC	25.9059353375692	26.2149994086843	26.12610599018	26.0294032070477	26.2198344348893	26.2147306701386	26.0908062214554
M135T442_POS_RPLC	21.2273903671756	21.2420886262841	21.3980101146669	21.4751129973935	21.1768803631581	21.1038341889122	21.2311111604397
M137T143_POS_RPLC	22.6133076347982	22.2040471441812	21.964989152625	21.9875755154075	22.3092529857565	22.3550272264914	22.0838409821369
M137T211_2_POS_RPLC	27.9809724362685	28.0894713065754	28.0500144370561	28.0694868840335	27.9899308589241	27.9171369193165	27.9934448502279
M137T486_POS_RPLC	21.8356615645827	21.6749427927561	21.8323547075624	21.8375430538649	21.7425614567149	21.6570085808744	21.6654571679414
M144T52_POS_RPLC	24.509565643736	24.1862987400305	24.1720829866739	24.1804582678638	24.1874121805579	24.13548256126	24.0934162074639
M146T248_POS_RPLC	24.1499291438018	23.7952717531172	23.8205200806927	23.7964150904208	23.9021445783771	23.863872181602	23.7535925127891
M153T73_POS_RPLC	25.9119012233591	26.3833234892971	26.578258287422	26.5567678716843	26.5844906915957	26.6522475150394	27.0202255650975
M154T104_POS_RPLC	21.883518524898	22.2425399052748	22.5578945241032	22.5604424511609	22.4746270917969	22.5781153212556	22.9882304822937
M154T34_POS_RPLC	25.3124379790927	24.8875931795671	24.8742375409875	24.860573134356	24.871745123254	24.9286298354732	24.9036104152307
M155T879_POS_RPLC	22.0555729663476	22.4461162381084	22.5402294225952	22.4994208821394	22.2207249380848	22.2020444229639	22.3774163916395
M155T845_POS_RPLC	24.5028257459037	24.9069256153912	24.9201371853736	24.7950015550514	24.5292617028194	24.5772224097546	24.7985489027871
M155T486_POS_RPLC	21.8990221558848	21.7200903661447	21.8801730641806	21.8518000477941	21.7855045459743	21.7440589804257	21.5516532242445
M160T52_POS_RPLC	22.3652284008095	21.9476259382248	21.9613239558194	22.0272701025447	22.027073380713	21.9116612008411	21.8613725081797
M161T512_POS_RPLC	21.9957400577344	21.909113544011	21.9078450762357	21.9345242721459	21.9456474798904	21.9312335931595	21.8631683608521
M162T34_POS_RPLC	30.3435407210095	30.2527112423176	30.2503670233047	30.1950733546014	30.2555255195305	30.316647969024	30.2668295058305
M166T74_POS_RPLC	23.6626539502646	23.5470269638475	23.621102848518	23.6533759949231	23.6721470105639	23.6784722397634	23.6604251666799
M166T37_1_POS_RPLC	30.9358041509687	30.8545225092299	30.8835128380588	30.81497250783	30.906168073868	30.8917550373158	30.8766871194596
M167T469_POS_RPLC	24.1303269850549	23.9994092408196	24.0373090409464	24.1040054495508	24.069480045773	24.0357307922929	23.9610085657596
M169T97_POS_RPLC	22.5060964045538	22.3722863839253	22.5432270035673	22.6819840802808	22.7481251193195	22.8313673653829	22.8497396430341
M181T548_POS_RPLC	24.577884667947	24.3831068851718	24.4655675464541	24.5606065198888	24.5194179566889	24.53210819533	24.4045334657404
M181T206_POS_RPLC	28.7901037634237	28.4794711904332	28.8255036863479	28.8818888662217	28.8243982662728	28.9550353023404	28.6821427776977
M182T34_POS_RPLC	24.4891617036795	24.4179327955131	24.4313620591312	24.5167703451558	24.592141810627	24.6145204301087	24.5767801408832
M184T776_POS_RPLC	25.066917627461	24.9197245492192	25.0052826288862	25.0334791534526	24.9807978776679	25.1361152762763	25.1337015534216
M185T285_POS_RPLC	22.7775067971005	22.4628353117144	22.304257160414	22.113101096782	22.4621754969021	22.5033227723281	21.9977028453869
M190T286_POS_RPLC	25.4678148521998	24.9502792403732	25.2241584536664	25.210661923431	26.6606749539315	25.323768397743	24.2022392823729
M195T825_POS_RPLC	28.3215416312365	28.305281231686	28.3304117696435	28.350442198401	28.2156034313164	28.2449508120659	28.307898563312
M195T274_POS_RPLC	29.8392735288565	29.2216700445659	29.6848530936478	29.7676008033711	29.5524810072495	29.8297428163888	29.5136787995656
M196T175_POS_RPLC	22.1363732599943	21.1687225243796	20.8037750672392	20.9286060802595	22.4610962211996	23.0510726970003	23.6514448410114
M197T274_POS_RPLC	21.1652504013916	20.6488901933853	20.9944319932706	21.0142593715521	22.1515005292603	22.0303223834654	20.6715657974993
M197T205_POS_RPLC	24.4942417876762	24.464099808251	24.6449099163683	24.8392484983093	25.0278208308772	25.1454998242138	25.3489003676224
M199T177_POS_RPLC	26.3893102027486	26.3103827545121	26.343957907232	26.3824594845237	26.3670571865753	26.3517026104342	26.2508402359662
M202T122_POS_RPLC	24.9423139208172	25.0033348256952	25.2218977193293	25.2793378319594	25.2432092726766	25.0881174560373	25.2468335030565
M203T34_POS_RPLC	27.3642886255415	27.4746958184148	27.3770182218826	27.3402612129074	27.4024575248925	27.5829520502231	27.4738613225562
M205T548_POS_RPLC	24.3114395061942	24.1196090264255	24.1917547390239	24.2842256840798	24.2308311833565	24.2311097745727	24.1296086168192
M207T52_POS_RPLC	23.1631023256354	22.8477672669568	22.8406885816756	22.8286990853504	22.9149749156904	22.7918106995726	22.7819477289407
M209T496_POS_RPLC	25.3485201619814	25.8340676474667	25.7991145329807	25.6547037745609	25.7360226879876	25.7791245972148	25.8049035953493
M211T262_POS_RPLC	24.0928326908026	24.440073816213	24.6736402120182	24.7046488593617	24.877169474361	25.1137773584741	24.9978375572278
M213T276_POS_RPLC	21.6814993926643	21.6374880807373	21.6129652353851	21.8320104580548	22.4345041997307	21.9662398750261	21.5140294933841
M219T505_POS_RPLC	23.0089173824196	22.7983639550314	23.0285061418212	23.2220613808644	22.7379655674646	22.7486676938974	22.9423152705431
M221T281_POS_RPLC	21.5600840705094	21.7038821387904	21.8780816040088	21.9737739181308	22.0292043268536	22.0028198528984	22.0603493003677
M221T51_2_POS_RPLC	24.8352597721101	24.5847268031037	24.6006826475246	24.631918093097	24.5843549696434	24.4872894918907	24.5517343897407
M229T483_POS_RPLC	19.2166422048093	18.5981598060369	20.0218305377564	21.0688369172623	20.4599177147715	19.6076847118676	19.0149345599548
M231T500_POS_RPLC	21.3406084206765	21.4252557455477	21.4959920163433	21.4989326335015	21.4212598147315	21.3558093535135	21.2807340639261
M232T53_POS_RPLC	25.309982527684	25.2447083558641	25.3603603889913	25.1182859315237	25.3791081912865	25.2911046049952	25.468842683953
M235T533_POS_RPLC	26.3109566619759	26.1839813785534	26.2440156279802	26.3060347342236	26.2308305245317	26.2237058310746	26.1607461948604
M239T181_POS_RPLC	22.8133288645565	23.0232462842039	22.9703111422469	22.5709271767732	23.0891614759962	23.3073631791152	23.4075888930304
M240T52_POS_RPLC	23.9564823657403	24.0233497754177	23.9392294726186	23.8768488004072	23.971361769123	24.0311716740516	23.9318780822752
M241T287_POS_RPLC	26.0991532827226	25.9772763184319	25.9691759530895	26.0046539448692	25.9659302144262	25.8804140473442	25.7731559471883
M241T429_POS_RPLC	21.3866664931288	25.4792063945196	25.0594347034536	24.4072234037227	25.0589924126296	25.3665350981001	25.7004146126269
M247T125_POS_RPLC	26.4310518642881	26.6114414667621	26.7941552072952	26.4207094230659	26.156293124598	26.3991697624501	25.4153635250225
M250T475_POS_RPLC	21.7346412373063	21.6878068529485	21.6103469605508	21.5938301032624	21.563642267418	21.5477525408185	21.4846810040254
M257T827_POS_RPLC	22.9500507493327	22.9818417381113	22.8781434969627	22.7528293076871	22.751614812776	22.819967249431	22.8221417804321
M260T196_POS_RPLC	22.8979404499368	22.8515583168368	23.0437220803974	23.5001899397723	22.9868524092169	23.099935032201	22.9060617111568
M261T180_POS_RPLC	24.231171781265	24.6071682423953	24.4937327760528	23.9650355839271	24.3682623295841	24.5715286691697	24.800021341045
M261T62_POS_RPLC	22.4052949650651	22.4576987486791	22.5334119627319	22.3205867564326	22.6083595959381	22.4757040580052	22.4646200368891
M263T429_POS_RPLC	23.8149818274929	28.3318137900708	27.8966253874363	27.4580515267966	27.7117472581114	28.0820219988441	28.7915585431903
M265T162_POS_RPLC	25.5482529512939	26.0162504354636	26.3742043125535	26.376028618104	26.3999749098038	26.6653182798729	26.7281606183618
M266T463_POS_RPLC	21.8187968213255	21.6110078150269	21.5469634275287	21.6191520369322	21.697827187598	21.6093818924462	21.5468586076566
M267T538_POS_RPLC	22.5552545274973	22.5557970118342	22.5164081935904	22.4559682214731	22.4740721793684	22.4839315035443	22.4424949446893
M269T624_POS_RPLC	26.1582692219174	25.8370524024103	25.846973540918	25.9653676300027	26.1522719027672	26.0971963213619	26.1000287633917
M269T616_POS_RPLC	23.4070431208551	23.3192889969435	23.6038860187064	23.900093145061	23.6658190297207	23.3759254028196	23.4010640149295
M271T361_POS_RPLC	26.3333190700565	26.314606051403	26.312029872852	26.3657212506899	26.2060753912889	26.1775961565089	26.2845722041957
M271T562_POS_RPLC	20.8059189890949	20.8474002599861	20.7994371566878	20.7685985209982	20.7565461744101	20.6897180389578	20.6722574692059
M271T525_POS_RPLC	22.6227593809001	22.5424013887437	22.5133059563735	22.3522036322426	21.8396218722461	21.7079381474859	21.2800949407909
M277T404_POS_RPLC	21.1995455649985	21.9899592813517	21.9444522182407	21.7303746596798	21.8070241053129	21.7164956818575	22.015272410181
M277T431_POS_RPLC	23.2921594532426	23.2017170390733	23.1691349900881	23.193799454588	23.1891273768257	23.1538392841542	23.2131343800513
M279T305_POS_RPLC	22.1787844915369	26.3567497020493	25.7694440452672	25.3323757828294	25.7423505493953	26.0973468476176	26.3821657847725
M279T548_POS_RPLC	26.2979887802688	26.1432838039798	26.1943396691469	26.2865635594837	26.2727715673051	26.2545225082879	26.1560790803184
M281T528_POS_RPLC	22.7936048854942	22.7115986795424	22.6995232960421	22.8267941818783	22.874184714063	22.7453209558996	22.8360113838404
M282T635_2_POS_RPLC	24.1948742497259	24.0349751135932	24.3945382374219	24.7927216653993	24.6366504706591	24.6842524818645	22.4398535305193
M283T651_POS_RPLC	22.5335364331645	22.5841999751862	22.7002163072148	22.7358856988221	22.9557740816899	22.9785524866432	22.5130605758513
M284T660_POS_RPLC	23.0757093276237	23.015684033893	23.1099100685681	23.0908521496075	23.0164300915477	23.0164190981841	22.8608746568401
M285T322_POS_RPLC	20.4513463949288	20.4657301113429	20.8042992592758	21.212328365292	20.8703247931098	20.591213499069	20.5802902015219
M285T596_POS_RPLC	23.0847039213417	22.9680281548036	23.0730722559052	23.1632355733626	23.1849926404545	23.2201841060673	23.1423588655292
M286T509_POS_RPLC	27.4279399306446	26.9896904762522	27.0412935167417	27.0504907595151	27.2557708369473	27.090089544103	27.6190614871975
M286T257_POS_RPLC	24.8835010834864	25.4642387586781	25.5225187453411	25.4340432002962	25.4644973900701	25.5644427999632	25.5814076257214
M287T161_POS_RPLC	23.8145988752665	24.232135810563	24.5035037579648	24.4641914668076	24.5593192572385	24.781728013693	24.8753228678098
M291T496_POS_RPLC	26.422874707141	27.0302413852486	26.9050583437669	26.7520023828147	26.8702829346274	26.8792594444033	26.9499088770711
M295T476_POS_RPLC	22.6466967751897	22.4911762234675	22.5595523059117	22.6264930104603	22.5647774248192	22.5321836379885	22.4813703887422
M297T552_POS_RPLC	25.6051954957928	25.7350275633403	25.7084659274638	25.6687752793153	25.7648611969699	25.7706087305796	25.7941468914091
M301T515_POS_RPLC	28.0663905428394	28.1008926359456	28.0426416115298	27.9828528221435	27.9872760112744	28.0112899447203	28.0092782948473
M302T343_POS_RPLC	21.7397431046742	21.758484250001	21.5546647968667	21.3075708268877	21.3985988568344	21.6733661346654	21.6549790060985
M302T616_POS_RPLC	19.9978265594902	20.0013273040355	20.0002173865885	20.7360019533143	19.3565424921619	19.7926071003487	18.8696036655206
M302T510_POS_RPLC	22.0119478468524	22.0565109535486	22.1326021575904	22.2027353854919	22.2195296952326	22.2212124083623	22.2807625598334
M304T635_POS_RPLC	20.5571735220862	20.3950969910866	20.5212845720797	21.0162184442906	21.1320569471625	20.970258480111	20.1214021448499
M305T537_POS_RPLC	25.2022388528209	25.5434493329436	25.3277887467118	25.1655160389805	25.3027448430941	25.2458201829163	25.3754003519744
M305T227_POS_RPLC	19.6402652781577	23.9705959324652	23.3742522984877	21.4241592594961	23.8135104371065	23.7992431418259	24.3453418925653
M308T504_POS_RPLC	25.1793707176521	24.7966362146122	24.7389671385319	24.7020519023651	24.790721758125	24.6507343749932	25.3893991662094
M309T571_POS_RPLC	26.4921964455839	26.7770881932784	26.7478717067895	26.6901346025573	26.5688862331699	26.654919149769	26.7986928495967
M310T307_POS_RPLC	23.5732026207704	23.8232716759239	23.8689465512674	23.8405166666606	23.7731600769073	23.8610046689371	23.9643287965505
M310T666_POS_RPLC	23.9581062863332	23.7329738199186	23.8279950421184	23.9588107810577	24.0620087967492	23.9951571668663	23.9900684120248
M311T618_POS_RPLC	21.9142990131057	21.8553887451294	21.8303427848011	22.0059736776579	21.6939631443698	21.9268702355198	22.1239360849416
M313T213_POS_RPLC	23.860361489462	20.9253728783016	21.398453605581	21.7188430328338	20.7651115598726	20.9162753820977	20.8648621177468
M313T631_POS_RPLC	26.9852994427981	26.8988832675259	26.9532244907929	26.9970396451721	26.9891657398305	27.0516195871434	27.0695066002357
M314T364_POS_RPLC	25.053445219196	25.1046556512419	25.1198591024747	25.3274026546441	24.8916868640967	24.9776115308072	24.8757423783102
M315T562_POS_RPLC	25.1866449695024	25.2414968239984	25.175079869902	25.1025767802055	25.1136829703383	25.1453475412913	25.1258176355184
M316T397_POS_RPLC	26.1708173377166	26.3531063032188	26.4020938118592	26.7629112325899	26.2272633143579	26.328939017662	26.117630037868
M317T668_POS_RPLC	20.077271084181	19.8062173481861	19.9253576101182	19.9776707297447	19.4780099249427	19.3851146925488	19.6319829368537
M318T488_POS_RPLC	29.4832033852194	29.5347717614888	29.6142681708551	29.7002417510712	29.7239431014415	29.7140354103494	29.7521417102293
M319T634_POS_RPLC	22.9799287674201	23.3061932226576	23.2840877038176	23.1779150054075	23.0442151627529	23.0885093446767	22.9567373439601
M321T595_POS_RPLC	22.5009870787258	22.6132525015078	22.6087817567206	22.5779009661532	22.6069892671426	22.7026380264547	22.387533469196
M325T569_POS_RPLC	24.2799994455506	24.3286902134646	24.2760542421034	24.211582135673	24.2018324005874	24.2606670614121	24.1980358576024
M327T367_POS_RPLC	24.0106579969357	23.9900550989775	23.9205090891264	23.9014944558171	23.8958278788878	23.8420007441457	23.8805185556283
M327T648_2_POS_RPLC	19.6247488159599	19.9254616001994	19.8696135052399	19.7192175552034	19.6810790603372	19.9612664717268	19.8460000114691
M330T427_POS_RPLC	22.6394468550897	22.5134950410764	22.5241856199292	22.4769945415846	22.2748351390784	22.4927427443331	22.7128199763149
M332T331_POS_RPLC	21.8572053637525	21.8951637714809	21.750906716472	21.5964888416343	21.6480225009926	21.6241798269061	21.7018399797692
M337T630_POS_RPLC	22.6865688763598	22.7337688449791	22.6372045472211	22.6150412289461	22.6492556185	22.6879600587138	22.6698683632694
M338T707_POS_RPLC	27.4828118940358	27.2841583099105	27.284264038394	27.3833178895979	27.621985279012	27.6424236328653	27.4896038815105
M340T488_POS_RPLC	21.6248534348163	21.8098894909752	21.7729437871092	21.7798840118746	21.8767766212339	21.8792152775099	21.9360185165351
M342T433_POS_RPLC	23.7924771949202	23.8390993620273	23.9272744596228	24.2130819543838	23.9682434448997	23.9196836295217	23.713444100223
M347T419_POS_RPLC	20.9356908035222	20.8045871220077	20.8669536671446	20.9817423555133	21.0120822344469	20.9996386827583	20.8871519439219
M348T631_POS_RPLC	23.6604146269789	23.4490256967034	23.5577311074432	23.6622934243959	23.6423267721727	23.6668929314317	23.6318895666932
M349T261_POS_RPLC	16.7415520617357	24.3242915768281	23.6193547721529	19.8202868491696	24.1288069687893	23.9723603472861	24.8524324936211
M352T223_POS_RPLC	22.5101070507769	22.0748670465723	22.1694752033009	22.119038017657	22.103349705154	22.1712006468118	21.7868492356766
M353T631_POS_RPLC	30.348289888372	30.3882778415709	30.3823768739114	30.3704682105072	30.3928602591892	30.423139285725	30.4612005914724
M357T455_POS_RPLC	23.2025040648335	23.8271510703694	24.2899251799869	24.2859032172992	24.4031719843329	24.0533868736062	23.8191259236569
M357T567_POS_RPLC	23.3982143188827	23.0765509788813	23.2434922497398	23.4654200072141	23.1117588803253	23.036871139243	23.0332294506862
M359T529_POS_RPLC	24.1655178656387	24.2451138261475	24.2138666466278	24.1859456012467	24.1693979992058	24.2030966606007	24.2151384173942
M359T661_POS_RPLC	25.9735992774148	25.8601420791856	25.9364959764061	25.9883280102315	26.0018272266292	26.0522394466467	26.0382195457218
M361T422_POS_RPLC	21.7758288779698	21.4183368310433	21.4048947202703	21.3432262379903	21.4498745081189	21.4637254983415	21.207220414205
M363T424_POS_RPLC	24.512897081758	24.0717679620715	24.0989130165697	23.9860702481157	23.8762873473038	23.9355373881421	23.6970764895309
M368T470_POS_RPLC	22.2900540052128	22.2175124099448	22.5617011588579	23.0716232444166	22.2273254376682	22.0178737887725	21.8051104141353
M369T643_POS_RPLC	21.1844282006219	21.4464143239882	21.3897064823302	21.4484584569523	21.5876680694316	21.6371361057635	21.5807337209346
M369T682_POS_RPLC	25.6006661455117	25.6321237141924	25.5902449190914	25.6516541193198	25.5873707992931	25.6402536085076	25.8011934411517
