"SYMBOL","UNIPROT"
"IGLL5","B9A064"
"MASP2","O00187"
"APOL1","O14791"
"APOL1","Q2KHQ6"
"APOL1","B1AH95"
"CEP290","O15078"
"CEP290","Q05BJ6"
"CD5L","O43866"
"FCN3","O75636"
"FCN3","Q6UY50"
"FCN3","Q6UXM4"
"ATRN","B4DZ36"
"ATRN","O75882"
"ATRN.1",NA
"APOM","A0A1U9X793"
"APOM","O95445"
"CP","A5PL27"
"CP","P00450"
"F13A1","P00488"
"F2","P00734"
"C1R","P00736"
"HP","P00738"
"HP","Q6PEJ8"
"HP","A0A0C4DGL8"
"HPR","P00739"
"F9","P00740"
"F10","P00742"
"F10","Q5JVE7"
"F10","Q5JVE8"
"CFD","A6XNE2"
"CFD","K7ERG9"
"CFD","P00746"
"PLG","P00747"
"PLG","Q5TEH5"
"F12","P00748"
"F12","Q8IZZ5"
"CFB","A0A1U9X7H8"
"CFB","P00751"
"CA1","P00915"
"CA1","V9HWE3"
"ASS1","P00966"
"ASS1","Q5T6L4"
"SERPINC1","A0A024R944"
"SERPINC1","P01008"
"SERPINA1","E9KL23"
"SERPINA1","P01009"
"SERPINA3","A0A024R6P0"
"SERPINA3","P01011"
"AGT","B0ZBE2"
"AGT","B2R5S1"
"AGT","P01019"
"A2M","P01023"
"C3","B4DR57"
"C3","P01024"
"C3","V9HWA9"
"C5","P01031"
"C5","Q59GS8"
"CST3","A0A0K0K1J1"
"CST3","P01034"
"KNG1","P01042"
"KNG1_2",NA
"IGF2","P01344"
"IGF2","E3UN46"
"IGJ",NA
"KVD33",NA
"KV133",NA
"KVD16",NA
"KVD33_2",NA
"KVD33_3",NA
"KV139",NA
"KVD33_4",NA
"KVD28",NA
"KV320",NA
"KV320_2",NA
"LV144",NA
"LV147",NA
"LV140",NA
"LV211",NA
"LV319",NA
"LV325",NA
"LV321",NA
"HV169",NA
"HV146",NA
"HV348",NA
"HV323",NA
"HV313",NA
"HV353",NA
"HV330",NA
"HV333",NA
"HV333_2",NA
"HV330_2",NA
"HV307",NA
"HV307_2",NA
"HV439",NA
"PIGR","P01833"
"IGKC",NA
"IGHG1",NA
"IGHG2",NA
"IGHG3",NA
"IGHG4",NA
"IGHM",NA
"IGHA1",NA
"IGHA2",NA
"IGHD",NA
"HBD","A0N071"
"HBD","P02042"
"APOA1","A0A024R3E3"
"APOA1","P02647"
"APOE","A0A0S2Z3D5"
"APOE","P02649"
"APOA2","P02652"
"APOC1","A0A024R0T8"
"APOC1","P02654"
"APOC2","A0A024R0T9"
"APOC2","P02655"
"APOC3","A3KPE2"
"APOC3","P02656"
"FGA","P02671"
"FGB","P02675"
"FGB","V9HVY1"
"FGG","A0A140VJJ6"
"FGG","P02679"
"APCS","P02743"
"APCS","V9HWP0"
"C1QA","A0A024RAG6"
"C1QA","P02745"
"C1QB","A0A024RAB9"
"C1QB","P02746"
"C1QC","A0A024RAA7"
"C1QC","P02747"
"C9","P02748"
"APOH","P02749"
"LRG1","P02750"
"LRG1","Q68CK4"
"FN1","B7ZLE5"
"FN1","P02751"
"FN1","Q6MZM7"
"FN1","Q9UQS6"
"FN1","Q6MZF4"
"FN1","Q6N084"
"RBP4","P02753"
"RBP4","Q5VY30"
"AMBP","P02760"
"ORM1","P02763"
"AHSG","P02765"
"TTR","E9KL36"
"TTR","P02766"
"ALB","P02768"
"GC","P02774"
"PPBP","P02775"
"PF4","P02776"
"TFRC","P02786"
"TFRC","Q7Z3E0"
"TFRC","G3V0E5"
"TFRC","B7Z2I6"
"TFRC","A8K6Q8"
"TF","A0PJA6"
"TF","P02787"
"TF","Q06AH7"
"HPX","P02790"
"HPX","Q9BS19"
"F11","P03951"
"KLKB1","A8K9A9"
"KLKB1","P03952"
"KLKB1","B4DMX2"
"KLKB1","E9PBC5"
"C4BPA","P04003"
"VTN","D9ZGG2"
"VTN","P04004"
"PROC","P04070"
"APOB","P04114"
"APOB","Q59HB3"
"APOB","Q7Z7Q0"
"LCAT","A0A140VK24"
"LCAT","P04180"
"HRG","P04196"
"KV320.1",NA
"KV315",NA
"LV743",NA
"A1BG","P04217"
"A1BG","V9HWD8"
"IGHM.1",NA
"VWF","P04275"
"SHBG","B0FWH2"
"SHBG","P04278"
"SHBG","B0FWH8"
"SHBG","B4DYU0"
"SHBG","I3L145"
"GAPDH","P04406"
"GAPDH","V9HVZ4"
"KV116",NA
"KV311",NA
"KV310",NA
"HV270",NA
"APOD","P05090"
"SERPINA5","A0A024R6N9"
"SERPINA5","B4DDH1"
"SERPINA5","P05154"
"SERPING1","E9KL26"
"SERPING1","P05155"
"CFI","A8K3L0"
"CFI","P05156"
"CFI","B4DRF2"
"CFI","Q8WW88"
"CFI","G3XAM2"
"F13B","P05160"
"CLEC3B","E9PHK0"
"CLEC3B","A0A024R2Q7"
"CLEC3B","P05452"
"SERPINA7","P05543"
"SERPIND1","P05546"
"SERPIND1","Q8IVC0"
"BCHE","P06276"
"KV230",NA
"KV320.2",NA
"LV151",NA
"LV657",NA
"LV657_2",NA
"HV434",NA
"GSN","P06396"
"GSN","A0A0A0MT01"
"GSN","A0A0A0MS51"
"GSN","B7Z4U6"
"C2","P06681"
"C2","Q53HP3"
"C2","Q5JP69"
"C2","B4DQI1"
"C2","A0A0G2JL69"
"C2","B4DV48"
"C2","Q8N6L6"
"APOA4",NA
"ENO1","P06733"
"ENO1","A0A024R4F1"
"LDHB","P07195"
"LDHB","Q5U077"
"PROS1","A0A0S2Z4K3"
