	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
IGLL5	0.0402407120547399	0.23178674071111	0.0262840556416282	0.0188859061565343	-0.134540244954728	-0.20981909876136	0.0271619291520748
MASP2	0.055815932812842	-0.101784096060304	-0.125728009408738	0.131574001968453	0.237975979160417	-0.127509804766744	-0.0703440037059266
APOL1	0.0738145094021097	-0.00740250005637866	-0.0176141068075055	-0.0455546994619549	0.0402969292309481	0.0813158286339968	-0.124855960941216
CEP290	0.0949249469609761	0.641918090556789	-0.0276059672848179	-0.135054784756432	-0.224322547669942	-0.230371657859154	-0.119488079947421
CD5L	0.301414130314648	0.133067179738594	0.0759685657649575	0.0185878647139812	-0.0849797533546362	-0.191335412270565	-0.25272257490698
FCN3	-0.102753365441502	-0.0706999271811983	0.105575144439715	-0.0373886978480713	-0.055618016291208	0.0061125682385253	0.154772294083739
ATRN	-0.013022363791457	-0.132132566576698	0.000684416120371623	-0.00749203402866083	-0.0286962365437879	0.0994255519789029	0.0812332328413283
ATRN.1	0.127697865966569	-0.122660842963264	-0.0103988049593349	0.0874842959389843	0.00774901655146687	-0.0164220538238942	-0.0734494767105265
APOM	0.08292136736635	0.0142804070049651	-0.114345358367201	0.0795068189878685	0.0189184267129847	-0.0559666574460636	-0.0253150042589021
CP	0.0777134827112205	0.0386460629317957	0.0396135439688177	-0.0261875726794356	-0.00376149662384329	-0.0051463536178149	-0.120877666690737
F13A1	-0.418744137398446	0.00964505099226473	0.0977861850862302	0.000468844393303774	0.0623353468471717	0.136749759973136	0.11175895010634
F2	-0.0262941102145255	0.0646503614128902	0.0417031046914635	0.0356138025210253	-0.0235394227783869	-0.0275138411120377	-0.0646198945204279
C1R	0.0325818374142743	0.0049086905892004	0.0133287232608947	0.0153349630916435	0.0307986210723228	0.0189442815012129	-0.115897116929549
HP	-0.421799862461613	-0.0348631181213408	0.00974004702647058	-0.0240208753061086	0.095917470633081	0.190685534335004	0.184340803894505
HPR	-0.0933317395001807	0.00430415351308078	0.216798277259622	0.138163210267944	-0.121905898965325	-0.0250376088797322	-0.11899039369541
F9	0.267141394087504	0.0472838455545055	-0.095171718760489	-0.234517649452854	-0.0615733996793739	0.0481059642746435	0.0287315639760632
F10	0.130025428378217	-0.118183815545862	-0.0791615766902902	-0.00716331526677483	0.0205280666514854	0.0586706702132423	-0.00471545774001753
CFD	-0.0156376950678339	0.0128784765438552	-0.00135299243828557	-0.147007960586932	-0.185789295545094	0.0734750492352814	0.263434417859009
PLG	0.0268397951773549	0.0496525264061995	0.0509115016582138	0.0556263751370691	-0.02108656167478	-0.0338729160887059	-0.12807072061535
F12	-0.109951652314994	-0.260121247864255	0.134592799761865	-0.132037742282086	0.119617988026805	0.123734793095797	0.124165061576868
CFB	-0.104872084840943	-0.0198521097741375	0.00439132625790695	0.00877102779005146	0.0724597556523161	0.0976011579292004	-0.0584990730143948
CA1	-0.159387695609852	-0.0368453115211467	-0.00692612042655316	0.0324179642908202	0.229056488321278	0.0346128926631475	-0.0929282177176955
ASS1	0.329227942149413	-0.0920854305903536	-0.0577738766162152	0.225412723286976	0.0898786247335903	-0.17824783854573	-0.316412144417681
SERPINC1	-0.083996072739418	0.0678205607742877	-0.00979250094358175	0.0451522568308143	0.00450119327445897	0.0248684908620724	-0.0485539280586353
SERPINA1	-0.0337968440264049	0.0676067445973318	0.145287331917331	0.000851998114785424	-0.165546409579096	-0.0368083638751351	0.0224055428511862
SERPINA3	-0.0253258884654688	0.0234668611746249	0.0209268075983893	-0.0327796509973659	-0.0244640431064509	0.024280679737454	0.0138952340588192
AGT	0.369632104590248	0.0210184463781613	0.016800534297825	-0.04562587130077	-0.0521174444387955	-0.12912506747355	-0.180582702053119
