	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
time	25_40	40_45	45_50	50_55	55_60	60_65	65_75.5
A1BG	3.69155009335006	3.84528383166266	3.67830208555	3.48849127982428	3.56800846313756	3.88761790880549	3.93979001582234
A1CF	1.47180231501796	1.57639401484878	1.67570022360682	1.7019125970286	1.65395869559286	1.79337260276546	1.96543313742745
A2M	9.42725582650699	9.61763025771263	9.43151007829855	9.1855177811278	9.21124152122946	9.3196863617054	9.18674495154509
A2ML1	1.08395383934331	1.12524695871784	1.34559903627823	1.42603451429021	1.49467127372168	1.47914076516468	1.41729603982543
AAGAB	2.37272452143478	2.38910287824809	2.50021697365878	2.39765397359565	2.19259307506468	2.47224862409826	2.38536728398283
AAK1	1.81998473565048	1.93107352969832	2.0540154733057	1.8635444103964	1.76620879326559	1.96728893690574	2.08352705933384
AAMDC	3.11703563085499	3.36785691913424	3.18114933734046	2.87556507336775	2.86290081600053	3.11949729550685	2.85843760865326
AAMP	2.29908584522098	2.29656901310108	2.13933106153835	2.06569089006951	2.19868190483081	2.27522243171098	2.42984410004302
AANAT	3.27960919183033	3.67595250785545	3.67269703068362	3.4361046186545	3.09947655298601	3.31405318746842	3.32139494315869
AASDH	0.621668997881843	0.519084487830481	0.434314921157819	0.525295340971275	0.711647824108007	0.823738221327512	0.862831376675754
AATF	0.922934933761003	0.807284248532377	0.826640596186523	0.868585252274618	0.951731023776123	1.09877593243984	1.30810653203423
AATK	1.03746345842144	0.914241485958737	0.894423244858521	0.961973037195916	1.38081704305198	1.28024381318503	1.1317885518084
ABAT	0.493497013887344	0.844258110021379	0.970326787530873	0.885905534969078	0.736986244613398	0.892058322339111	1.03293657917596
ABCA1	1.85587393989887	1.97979078097351	1.8454700865525	1.81619546919248	1.90420975119517	2.03481962155449	2.09980571369894
ABCA12	1.01715783957996	1.35108051008615	1.3385990663565	1.36658903693023	1.31633762878458	1.41699757344083	1.41413348079702
ABCA2	0.447798550080105	0.626181260297999	0.731497670027017	0.735757994527132	0.86723894069971	0.721680643730413	0.704676794668576
ABCA3	1.07623995934558	1.21418718964117	1.10903179305015	0.957976476571167	1.17758786439465	1.29210046409062	1.30288048776735
